Percent_Stride,BF_Right_4p0_Mean,BF_Right_4p0_Std,BF_Right_5p0_Mean,BF_Right_5p0_Std,BF_Right_6p0_Mean,BF_Right_6p0_Std,BF_Right_7p0_Mean,BF_Right_7p0_Std,BF_Right_7p5_Mean,BF_Right_7p5_Std,BF_Right_8p0_Mean,BF_Right_8p0_Std,BF_Left_4p0_Mean,BF_Left_4p0_Std,BF_Left_5p0_Mean,BF_Left_5p0_Std,BF_Left_6p0_Mean,BF_Left_6p0_Std,BF_Left_7p0_Mean,BF_Left_7p0_Std,BF_Left_7p5_Mean,BF_Left_7p5_Std,BF_Left_8p0_Mean,BF_Left_8p0_Std
0,1.06193496432265,0.0111302008594716,1.05755889229049,0.00820139256652678,1.06306086901799,0.0071110064775617,1.05665342448143,0.0106251200314692,1.07418744148154,0.00545715066982084,1.04523580561877,0.00474380257909558,0.922266489702388,0.00179966443562256,0.911313523080534,0.00571857126352307,0.909348352522694,0.00461621985450968,0.893650589028634,0.00573421028240992,0.886593539165865,0.00211463009165348,0.875679579968665,0.00331102088567764
1,1.05842035795021,0.0114160086003374,1.05403567592813,0.00776084527572061,1.05846113323985,0.00701764877695537,1.05155773574617,0.0107316914712775,1.06900903047553,0.00513673757061968,1.04080961254713,0.00440008580082411,0.921811906351252,0.000875826791225223,0.912061989101944,0.00796739292459437,0.910501188192366,0.00581069114716669,0.895934798485524,0.00558220094748519,0.886518414114224,0.00102295010854358,0.881897099840201,0.00416518230427496
2,1.05490917348785,0.0115802119503056,1.05058328106704,0.00737302414266989,1.05412123462459,0.00685280155949702,1.04683772707754,0.0108908988917318,1.06417496630661,0.00466971914231623,1.03628443694048,0.00401925412198655,0.922008546406556,0.00118670038721073,0.913630502615363,0.0102387436111239,0.912750644931146,0.00705087552247262,0.899636273747922,0.00553618069697348,0.887884076091984,0.00195397929664358,0.889007183996634,0.00484445793692559
3,1.05140074826938,0.0115592633613852,1.04715170668554,0.00706316756717275,1.05003582478192,0.00662364958941306,1.04247898623996,0.0110928658820693,1.05970001801198,0.00410032468127507,1.03165882783271,0.00362798134830981,0.922959454474809,0.00259946538814094,0.916048935238733,0.0124642061710602,0.916104301802648,0.00827321321626722,0.904748453925521,0.00568794052162982,0.8907970312072,0.00379502913040864,0.896847036951067,0.00536088406343862
4,1.0478748711424,0.0112591322039044,1.04366538965448,0.00686629807718107,1.04615206151194,0.00633863766749345,1.03842746833676,0.0112992693583781,1.055544765132,0.00347646747133876,1.02694609808099,0.00325206096221916,0.92484694761547,0.00432627457105202,0.919319506308152,0.0145824062692418,0.920514934450327,0.00941649196191992,0.911184260669366,0.0060266333696513,0.895270607915355,0.0057771860504684,0.905265926092568,0.00573600764126172
5,1.04429829058611,0.0106998935632798,1.04000656493407,0.00680932740039696,1.04237424391613,0.0060054090626646,1.03459527080438,0.0114535465805868,1.05162358176979,0.00284519901408345,1.02217150032773,0.00291803553434492,0.92756577320378,0.00618830018036364,0.923488899820205,0.0164419919646518,0.925877232931734,0.010433297503277,0.91877747481011,0.00645110795997025,0.901256973495295,0.00767246083453301,0.91413132613223,0.00599157264426558
6,1.04061885707891,0.00989173759330818,1.03608531146012,0.0069233691826193,1.03857761909874,0.00563208168278805,1.03087125978772,0.0114978145829543,1.04781791990519,0.00224651028598336,1.01736507857408,0.00265147317319676,0.931159541287648,0.00807845487616856,0.928391201662526,0.0180658063810769,0.93203013509089,0.01129761632399,0.927274579251407,0.00684418250713054,0.908572500757236,0.00933080705897277,0.923329579479191,0.00614517792632281
7,1.03677817070064,0.00890077496898561,1.03183185450853,0.00719821465973012,1.03463110969044,0.00523360274201736,1.02713554653118,0.0113891599409831,1.04399438420865,0.00170752811747712,1.01255291718166,0.00247193586314826,0.935590158497862,0.00994235358090574,0.933872524470324,0.0193785414700263,0.938768728615492,0.0119930227648048,0.936373772281513,0.00710644141630212,0.916921423484884,0.0106476964780402,0.932764296406084,0.00621069329507524
8,1.0327651029802,0.00787117625061732,1.0272131245898,0.00758514394332438,1.03042120897287,0.00483673116476241,1.02327495485558,0.0111085071594099,1.04002505284631,0.00124141515110098,1.00775109664471,0.00238776844758256,0.94064828727727,0.0116607510373221,0.939790196225743,0.0203250013027009,0.945875268578271,0.0125154116059465,0.945759944499602,0.00718059052593229,0.925952824838768,0.0115576046350971,0.942354793942772,0.00620039813438983
9,1.02857183355179,0.00693154079914285,1.02221951897707,0.00798725298030426,1.02587502197969,0.00448371122791848,1.0191961252117,0.0106607386455898,1.03580486903095,0.000854006051331747,1.00296493004681,0.00239461398595758,0.94627702745744,0.0131088152727829,0.946062520363561,0.0208266251616374,0.953142737705469,0.0128809553190997,0.955142022335998,0.00705763347006085,0.935310278293557,0.0120407779564643,0.952035298301668,0.00612623630024951
