Time,Coordinate,Speed,Mean,Std
0,ankle_angle_l,5.0 m/s,-19.2989811491699,1.4119388604667
1,ankle_angle_l,5.0 m/s,-18.2884392387244,1.51610349818286
2,ankle_angle_l,5.0 m/s,-17.299077813255,1.63872490015858
3,ankle_angle_l,5.0 m/s,-16.3265841220347,1.77855384542084
4,ankle_angle_l,5.0 m/s,-15.3578606802726,1.93123702659907
5,ankle_angle_l,5.0 m/s,-14.3735546581451,2.08675407891029
6,ankle_angle_l,5.0 m/s,-13.3558770491951,2.2379245923764
7,ankle_angle_l,5.0 m/s,-12.2935606689393,2.3673969360955
8,ankle_angle_l,5.0 m/s,-11.198569999137,2.46471438169081
9,ankle_angle_l,5.0 m/s,-10.0970963252519,2.52121254659748
10,ankle_angle_l,5.0 m/s,-9.02737573173072,2.53309866356671
11,ankle_angle_l,5.0 m/s,-8.03147198767755,2.49532835802234
12,ankle_angle_l,5.0 m/s,-7.13154585156011,2.42674731622223
13,ankle_angle_l,5.0 m/s,-6.35842663534834,2.33035665543016
14,ankle_angle_l,5.0 m/s,-5.7113374617481,2.22994824675267
15,ankle_angle_l,5.0 m/s,-5.17861786804531,2.1217193586242
16,ankle_angle_l,5.0 m/s,-4.75437100317025,2.00994265272362
17,ankle_angle_l,5.0 m/s,-4.4226724696862,1.90808452795446
18,ankle_angle_l,5.0 m/s,-4.16875116544312,1.81164751370716
19,ankle_angle_l,5.0 m/s,-3.98709000152746,1.74229543832274
20,ankle_angle_l,5.0 m/s,-3.88171301141332,1.70283130805118
21,ankle_angle_l,5.0 m/s,-3.86174300482182,1.68778452346512
22,ankle_angle_l,5.0 m/s,-3.94757517077493,1.70538537074351
23,ankle_angle_l,5.0 m/s,-4.15961728426753,1.73994085464945
24,ankle_angle_l,5.0 m/s,-4.50320059917203,1.80693257011395
25,ankle_angle_l,5.0 m/s,-5.00188641008065,1.91117184873021
26,ankle_angle_l,5.0 m/s,-5.66014322820664,2.04850003753393
27,ankle_angle_l,5.0 m/s,-6.48726983197903,2.21038839176665
28,ankle_angle_l,5.0 m/s,-7.49363297023865,2.39623490039664
29,ankle_angle_l,5.0 m/s,-8.6567703444697,2.60005942765276
30,ankle_angle_l,5.0 m/s,-9.9736537657728,2.7891371292815
31,ankle_angle_l,5.0 m/s,-11.4028322204873,2.96397757201153
32,ankle_angle_l,5.0 m/s,-12.8982221631115,3.09860997721953
33,ankle_angle_l,5.0 m/s,-14.4097604933829,3.17237115534722
34,ankle_angle_l,5.0 m/s,-15.8665644443249,3.1626230532446
35,ankle_angle_l,5.0 m/s,-17.2047486354536,3.06501198258673
36,ankle_angle_l,5.0 m/s,-18.3766589159901,2.89414862691834
37,ankle_angle_l,5.0 m/s,-19.330175263368,2.65879447541078
38,ankle_angle_l,5.0 m/s,-20.0612848186999,2.40445423115732
39,ankle_angle_l,5.0 m/s,-20.5949269565768,2.18213741476908
40,ankle_angle_l,5.0 m/s,-20.9520494532563,2.03318416803986
41,ankle_angle_l,5.0 m/s,-21.2157243154487,1.95647420832491
42,ankle_angle_l,5.0 m/s,-21.4395860249534,1.9415582488198
43,ankle_angle_l,5.0 m/s,-21.6708468560385,1.95760239859843
44,ankle_angle_l,5.0 m/s,-21.921254278879,1.96724183672171
45,ankle_angle_l,5.0 m/s,-22.1668818777079,1.94403207835872
46,ankle_angle_l,5.0 m/s,-22.3341277118869,1.87038880822068
47,ankle_angle_l,5.0 m/s,-22.3256833376712,1.73529025416014
48,ankle_angle_l,5.0 m/s,-22.0433920663994,1.55154937765627
49,ankle_angle_l,5.0 m/s,-21.3351440542144,1.35320311643286
50,ankle_angle_l,5.0 m/s,-20.0566369506883,1.22555520856956
51,ankle_angle_l,5.0 m/s,-18.1686432901408,1.30988027370852
52,ankle_angle_l,5.0 m/s,-15.559124206681,1.57215747051113
53,ankle_angle_l,5.0 m/s,-12.3083366297714,1.9303392922176
54,ankle_angle_l,5.0 m/s,-8.61042064670299,2.21715336328892
55,ankle_angle_l,5.0 m/s,-4.67832380280295,2.37913785623185
56,ankle_angle_l,5.0 m/s,-0.76440278062656,2.42872250136486
57,ankle_angle_l,5.0 m/s,2.95645838787754,2.40797980766007
58,ankle_angle_l,5.0 m/s,6.38363347618733,2.30719774950072
59,ankle_angle_l,5.0 m/s,9.43716989283207,2.13601321173403
60,ankle_angle_l,5.0 m/s,12.1256532976901,1.91868019452939
61,ankle_angle_l,5.0 m/s,14.4435468176152,1.61253808003816
62,ankle_angle_l,5.0 m/s,16.3375317717756,1.22643430040582
63,ankle_angle_l,5.0 m/s,17.8364441080453,0.746047245262315
64,ankle_angle_l,5.0 m/s,18.8846618380674,0.260657489431749
