Time,Coordinate,Speed,Mean,Std
0,ankle_angle_l,7.5,-25.0648013548232,3.13481633677086
1,ankle_angle_l,7.5,-23.2964954970755,3.17839505307609
2,ankle_angle_l,7.5,-21.4340564818473,3.19290860256926
3,ankle_angle_l,7.5,-19.4835307995956,3.17527032416349
4,ankle_angle_l,7.5,-17.454881328851,3.12417827214295
5,ankle_angle_l,7.5,-15.3608106432442,3.04068450187747
6,ankle_angle_l,7.5,-13.2162429182397,2.92753347677796
7,ankle_angle_l,7.5,-11.0385823732984,2.78766934668949
8,ankle_angle_l,7.5,-8.8484726701394,2.62326230147779
9,ankle_angle_l,7.5,-6.67072965747277,2.43599859979707
10,ankle_angle_l,7.5,-4.53497269409527,2.22813578029425
11,ankle_angle_l,7.5,-2.47535733925083,2.0036128365636
12,ankle_angle_l,7.5,-0.529153941743671,1.76910987002384
13,ankle_angle_l,7.5,1.26566720719076,1.53515842045192
14,ankle_angle_l,7.5,2.87359354551724,1.3169682847367
15,ankle_angle_l,7.5,4.26500946731254,1.13393695202717
16,ankle_angle_l,7.5,5.41936619457828,1.00593943552721
17,ankle_angle_l,7.5,6.32787120866362,0.944846071214812
18,ankle_angle_l,7.5,6.99550920800874,0.945834210250555
19,ankle_angle_l,7.5,7.4418545431997,0.989325579985085
20,ankle_angle_l,7.5,7.70015887717271,1.05252708923329
21,ankle_angle_l,7.5,7.81446153368983,1.11820231921176
22,ankle_angle_l,7.5,7.83470175099724,1.17719234232783
23,ankle_angle_l,7.5,7.81053987249486,1.22786594798437
24,ankle_angle_l,7.5,7.78550206375472,1.274360611701
25,ankle_angle_l,7.5,7.79287369482011,1.32436379093757
26,ankle_angle_l,7.5,7.85361273486782,1.38698068354846
27,ankle_angle_l,7.5,7.97570028735867,1.47072427235714
28,ankle_angle_l,7.5,8.15439633356903,1.58134540800183
29,ankle_angle_l,7.5,8.37332451740409,1.71983398707403
30,ankle_angle_l,7.5,8.60654839165869,1.88166488771722
31,ankle_angle_l,7.5,8.82168804104248,2.05772676062026
32,ankle_angle_l,7.5,8.98384380411313,2.2361632661658
33,ankle_angle_l,7.5,9.0598319497205,2.40405766103319
34,ankle_angle_l,7.5,9.02101941434591,2.54652971362841
35,ankle_angle_l,7.5,8.84893599055057,2.65165829282289
36,ankle_angle_l,7.5,8.53609596564252,2.70964387415619
37,ankle_angle_l,7.5,8.08453608808201,2.71196384841236
38,ankle_angle_l,7.5,7.50353508659496,2.65305981684831
39,ankle_angle_l,7.5,6.80557751100207,2.53084795966187
40,ankle_angle_l,7.5,6.00281690194658,2.34671408185253
41,ankle_angle_l,7.5,5.10563259997181,2.10522075835294
42,ankle_angle_l,7.5,4.12367806539045,1.81418238437531
43,ankle_angle_l,7.5,3.06863761123971,1.48633302469385
44,ankle_angle_l,7.5,1.95768587661176,1.1449282446215
45,ankle_angle_l,7.5,0.817190117587799,0.839191711539614
46,ankle_angle_l,7.5,-0.313311870931221,0.670573136266741
47,ankle_angle_l,7.5,-1.3773058506028,0.719725214043964
48,ankle_angle_l,7.5,-2.2997007940366,0.873290591756295
49,ankle_angle_l,7.5,-2.99076080575366,0.979403510492662
50,ankle_angle_l,7.5,-3.35792725640154,0.967670231882674
51,ankle_angle_l,7.5,-3.32154095855691,0.836350973214864
52,ankle_angle_l,7.5,-2.84197889175667,0.634282393308264
53,ankle_angle_l,7.5,-1.9272520258416,0.429717495150381
54,ankle_angle_l,7.5,-0.632785364368746,0.276548048282561
55,ankle_angle_l,7.5,0.956675308164392,0.209577533440991
56,ankle_angle_l,7.5,2.75126107075771,0.247146321122164
57,ankle_angle_l,7.5,4.67284052412889,0.356777169314562
58,ankle_angle_l,7.5,6.65815662005021,0.499779098933962
59,ankle_angle_l,7.5,8.6521109485473,0.649094276314056
60,ankle_angle_l,7.5,10.5989192844439,0.781502063697319
61,ankle_angle_l,7.5,12.4358526365148,0.879418443265255
62,ankle_angle_l,7.5,14.0910639211662,0.933698828616616
63,ankle_angle_l,7.5,15.4851009701757,0.94380132967785
64,ankle_angle_l,7.5,16.534112246744,0.91636650664428
65,ankle_angle_l,7.5,17.152851226089,0.865227333463118
66,ankle_angle_l,7.5,17.2572443235281,0.815288797962678
67,ankle_angle_l,7.5,16.765159194594,0.807482484996469
68,ankle_angle_l,7.5,15.6025673487586,0.893844215267385
69,ankle_angle_l,7.5,13.7180137134441,1.09176407455267
70,ankle_angle_l,7.5,11.0788705595645,1.37564548707304
71,ankle_angle_l,7.5,7.6837879431685,1.70640194513702
72,ankle_angle_l,7.5,3.57068711985367,2.04631181999013
73,ankle_angle_l,7.5,-1.17664649673026,2.36075169148651
74,ankle_angle_l,7.5,-6.42485697594692,2.6180350549243
75,ankle_angle_l,7.5,-11.9920371143442,2.79013152715854
76,ankle_angle_l,7.5,-17.6553851590597,2.85461393292617
77,ankle_angle_l,7.5,-23.1668833051401,2.79811368149617
78,ankle_angle_l,7.5,-28.2769086178285,2.62086478250744
79,ankle_angle_l,7.5,-32.7632040495087,2.34094386921395
80,ankle_angle_l,7.5,-36.4595642879155,1.99622309802305
81,ankle_angle_l,7.5,-39.2764157087666,1.64164725463043
82,ankle_angle_l,7.5,-41.20676553406,1.338601664264
83,ankle_angle_l,7.5,-42.3164505621353,1.13108715369648
84,ankle_angle_l,7.5,-42.7234810975992,1.01434641355697
85,ankle_angle_l,7.5,-42.5732547398119,0.936846507560856
86,ankle_angle_l,7.5,-42.0148388637131,0.846834435550719
87,ankle_angle_l,7.5,-41.1815855095557,0.725681194799756
88,ankle_angle_l,7.5,-40.1784640690981,0.590570967665299
89,ankle_angle_l,7.5,-39.0775429194233,0.487990608011633
90,ankle_angle_l,7.5,-37.9210077359557,0.471205099864772
91,ankle_angle_l,7.5,-36.7287169417561,0.54094759545053
92,ankle_angle_l,7.5,-35.5064377428242,0.649487641779507
93,ankle_angle_l,7.5,-34.2521493571236,0.761216308761864
94,ankle_angle_l,7.5,-32.9596457903865,0.861216478794763
95,ankle_angle_l,7.5,-31.6199594643471,0.943528797111901
96,ankle_angle_l,7.5,-30.2218339947765,1.0041393580309
