Time,Coordinate,Speed,Mean,Std
0,arm_add_r,6.0,-28.9610734529939,1.202743309649
1,arm_add_r,6.0,-28.9782318735607,1.23286149455075
2,arm_add_r,6.0,-29.0408855380246,1.25142634873938
3,arm_add_r,6.0,-29.1477585152122,1.25907895257122
4,arm_add_r,6.0,-29.2949173199897,1.2558371772279
5,arm_add_r,6.0,-29.4763348565213,1.24050005801388
6,arm_add_r,6.0,-29.6846140983422,1.21060198752266
7,arm_add_r,6.0,-29.9112200102152,1.16294118875303
8,arm_add_r,6.0,-30.1461269957395,1.09425593849191
9,arm_add_r,6.0,-30.3760660609377,1.00349417848678
10,arm_add_r,6.0,-30.5843123710544,0.892664128311327
11,arm_add_r,6.0,-30.7499646262586,0.762765438806456
12,arm_add_r,6.0,-30.8584228095978,0.625290640355936
13,arm_add_r,6.0,-30.8956445486626,0.497253694751512
14,arm_add_r,6.0,-30.8506079670299,0.412587791677308
15,arm_add_r,6.0,-30.7152487639474,0.420543697131196
16,arm_add_r,6.0,-30.4822287442565,0.527466599063894
17,arm_add_r,6.0,-30.1501552977491,0.69555710636685
18,arm_add_r,6.0,-29.7220824250731,0.895798637340551
19,arm_add_r,6.0,-29.2035626659507,1.11175024079912
20,arm_add_r,6.0,-28.603584228948,1.33428070219148
21,arm_add_r,6.0,-27.9313375538144,1.5596083739884
22,arm_add_r,6.0,-27.2046961869295,1.78021773734556
23,arm_add_r,6.0,-26.4385415133598,1.99371545133307
24,arm_add_r,6.0,-25.6470625254144,2.19777058859042
25,arm_add_r,6.0,-24.8472654660697,2.39474939038348
26,arm_add_r,6.0,-24.053766767519,2.58491519850979
27,arm_add_r,6.0,-23.2798327289282,2.76802536435221
28,arm_add_r,6.0,-22.5369319829218,2.9429649001933
29,arm_add_r,6.0,-21.834549116232,3.10727007237173
30,arm_add_r,6.0,-21.1803715494327,3.25688585864792
31,arm_add_r,6.0,-20.5844833320787,3.38334231173019
32,arm_add_r,6.0,-20.0494543097516,3.48476854130166
33,arm_add_r,6.0,-19.5773117847476,3.55618463290562
34,arm_add_r,6.0,-19.1700697361841,3.59549393262256
35,arm_add_r,6.0,-18.8281514862886,3.60194894537762
36,arm_add_r,6.0,-18.5499505206092,3.57545088557194
37,arm_add_r,6.0,-18.3318802341202,3.51626322489196
38,arm_add_r,6.0,-18.1688758212423,3.42511101350258
39,arm_add_r,6.0,-18.0554587894088,3.3036071738405
40,arm_add_r,6.0,-17.9847645159975,3.15359320191621
41,arm_add_r,6.0,-17.9517441160161,2.97556847161518
42,arm_add_r,6.0,-17.9465923793702,2.77701167459915
43,arm_add_r,6.0,-17.9618709063126,2.56479079206568
44,arm_add_r,6.0,-17.9897605169851,2.34870901711036
45,arm_add_r,6.0,-18.0224469284085,2.14105198552534
46,arm_add_r,6.0,-18.0527522876635,1.95481665578213
47,arm_add_r,6.0,-18.0744456195225,1.80121894801042
48,arm_add_r,6.0,-18.0830891233099,1.68660066770314
49,arm_add_r,6.0,-18.075362659482,1.61045869007438
50,arm_add_r,6.0,-18.0496131588561,1.56580089565108
51,arm_add_r,6.0,-18.0047766139784,1.54083475028752
52,arm_add_r,6.0,-17.9467742972899,1.52454729148723
53,arm_add_r,6.0,-17.883075920681,1.50623794494725
54,arm_add_r,6.0,-17.8250041233105,1.47623932656142
55,arm_add_r,6.0,-17.7892095705471,1.42356795759313
56,arm_add_r,6.0,-17.7918274643694,1.34478670959426
57,arm_add_r,6.0,-17.8527675858652,1.23544453653608
58,arm_add_r,6.0,-17.9933850938337,1.09182050005862
59,arm_add_r,6.0,-18.2357084775257,0.910904302722496
60,arm_add_r,6.0,-18.6015839110217,0.691396016805089
61,arm_add_r,6.0,-19.1192419339808,0.442607649412856
62,arm_add_r,6.0,-19.8023160504,0.166305566648997
63,arm_add_r,6.0,-20.660577979081,0.173955611944604
