Time,Coordinate,Speed,Mean,Std
0,hip_flexion_l,7.0 m/s,13.191990359617,3.68380825954264
1,hip_flexion_l,7.0 m/s,14.8028745467242,3.83511886628271
2,hip_flexion_l,7.0 m/s,16.5924458629086,3.93542224817177
3,hip_flexion_l,7.0 m/s,18.5783493226939,3.98501556994671
4,hip_flexion_l,7.0 m/s,20.7776018566292,3.9866015874259
5,hip_flexion_l,7.0 m/s,23.2173904362344,3.95990582687669
6,hip_flexion_l,7.0 m/s,25.9094326347467,3.89796409236601
7,hip_flexion_l,7.0 m/s,28.8521364660141,3.79092078496415
8,hip_flexion_l,7.0 m/s,32.0202893462505,3.66825659421135
9,hip_flexion_l,7.0 m/s,35.3891554326626,3.55361567525678
10,hip_flexion_l,7.0 m/s,38.8943436636756,3.44560135181462
11,hip_flexion_l,7.0 m/s,42.4702293365566,3.35967827166572
12,hip_flexion_l,7.0 m/s,46.0318410035608,3.30885241337694
13,hip_flexion_l,7.0 m/s,49.4925517604365,3.30645498577044
14,hip_flexion_l,7.0 m/s,52.798666326923,3.35482959738045
15,hip_flexion_l,7.0 m/s,55.9079768312107,3.44521502327179
16,hip_flexion_l,7.0 m/s,58.7829379792385,3.54580572805755
17,hip_flexion_l,7.0 m/s,61.4072189956138,3.62938436643963
18,hip_flexion_l,7.0 m/s,63.7932735152648,3.69032620632306
19,hip_flexion_l,7.0 m/s,65.947576967772,3.71624304033097
20,hip_flexion_l,7.0 m/s,67.8825246284924,3.69349294053409
21,hip_flexion_l,7.0 m/s,69.5765496402707,3.60416630543921
22,hip_flexion_l,7.0 m/s,71.0519928001926,3.47884865393414
23,hip_flexion_l,7.0 m/s,72.3017206557482,3.32911694771116
24,hip_flexion_l,7.0 m/s,73.3129189008071,3.17120948072043
25,hip_flexion_l,7.0 m/s,74.0681357699607,3.01078861928328
26,hip_flexion_l,7.0 m/s,74.564312075383,2.81314897129448
27,hip_flexion_l,7.0 m/s,74.8110847972106,2.59553646874158
28,hip_flexion_l,7.0 m/s,74.8046801661147,2.35746220169926
29,hip_flexion_l,7.0 m/s,74.5283583721329,2.10479153949381
30,hip_flexion_l,7.0 m/s,73.9837800341217,1.84998521815048
31,hip_flexion_l,7.0 m/s,73.1596589893257,1.57950055509473
32,hip_flexion_l,7.0 m/s,72.0762451609572,1.31518758859317
33,hip_flexion_l,7.0 m/s,70.7278252774438,1.05924082265577
34,hip_flexion_l,7.0 m/s,69.1485978641346,0.815646061113583
35,hip_flexion_l,7.0 m/s,67.3644349238516,0.586742676557223
36,hip_flexion_l,7.0 m/s,65.3968521696277,0.376005531712285
37,hip_flexion_l,7.0 m/s,63.2887919497795,0.190441931808214
38,hip_flexion_l,7.0 m/s,61.0870378209951,0.09792821128602
39,hip_flexion_l,7.0 m/s,58.8242073614583,0.206720292012876
40,hip_flexion_l,7.0 m/s,56.5302421232327,0.346201074759504
41,hip_flexion_l,7.0 m/s,54.2350211716046,0.47767170805246
42,hip_flexion_l,7.0 m/s,51.9639729617588,0.599743847198986
43,hip_flexion_l,7.0 m/s,49.737131979047,0.713100247421603
44,hip_flexion_l,7.0 m/s,47.5703354186394,0.816595006200097
45,hip_flexion_l,7.0 m/s,45.4806838743826,0.911120494741886
46,hip_flexion_l,7.0 m/s,43.4819648422302,0.98785975869037
47,hip_flexion_l,7.0 m/s,41.5791941379603,1.05773382546028
48,hip_flexion_l,7.0 m/s,39.7861628232342,1.13255254015227
49,hip_flexion_l,7.0 m/s,38.1138962198613,1.21262821609306
