Time,Coordinate,Speed,Mean,Std
0,hip_flexion_l,7.5,5.1575981951337,1.39807682769732
1,hip_flexion_l,7.5,6.50743437684057,1.63140861857317
2,hip_flexion_l,7.5,8.24529916264003,1.95141475673177
3,hip_flexion_l,7.5,10.4143692386773,2.34527822588204
4,hip_flexion_l,7.5,13.032744578523,2.78790241112226
5,hip_flexion_l,7.5,16.089999724261,3.24897371328958
6,hip_flexion_l,7.5,19.5461298401731,3.69725586872249
7,hip_flexion_l,7.5,23.3337003243361,4.10377685641368
8,hip_flexion_l,7.5,27.3643456015113,4.44434916099777
9,hip_flexion_l,7.5,31.5392099840763,4.70083396660302
10,hip_flexion_l,7.5,35.7608538877967,4.86061635086515
11,hip_flexion_l,7.5,39.9435785771306,4.91485895897194
12,hip_flexion_l,7.5,44.0202746800978,4.85738406927737
13,hip_flexion_l,7.5,47.9455154900128,4.68589264879818
14,hip_flexion_l,7.5,51.6950414543482,4.40513723759897
15,hip_flexion_l,7.5,55.2615367213896,4.02960950911833
16,hip_flexion_l,7.5,58.6476801457589,3.58381633598521
17,hip_flexion_l,7.5,61.859252762747,3.10031491762521
18,hip_flexion_l,7.5,64.9009136455101,2.61651200122885
19,hip_flexion_l,7.5,67.7750688138074,2.17049530497136
20,hip_flexion_l,7.5,70.4824129464979,1.7956319451835
21,hip_flexion_l,7.5,73.0226572881318,1.51413010070226
22,hip_flexion_l,7.5,75.3949843196086,1.33094247892964
23,hip_flexion_l,7.5,77.5982359308863,1.23202466915238
24,hip_flexion_l,7.5,79.630382986204,1.19132151520858
25,hip_flexion_l,7.5,81.4869307156925,1.18221259353762
26,hip_flexion_l,7.5,83.1590807336133,1.18377257276504
27,hip_flexion_l,7.5,84.6331630519267,1.18043327819314
28,hip_flexion_l,7.5,85.8919816010091,1.16002141304624
29,hip_flexion_l,7.5,86.9171554497956,1.11313292081471
30,hip_flexion_l,7.5,87.6909472668927,1.0339585819719
31,hip_flexion_l,7.5,88.1969575372514,0.922417288754471
32,hip_flexion_l,7.5,88.42028743688,0.787858643651587
33,hip_flexion_l,7.5,88.3480723214859,0.654599413906643
34,hip_flexion_l,7.5,87.9688777067294,0.567440612012836
35,hip_flexion_l,7.5,87.2793574866191,0.567310451445171
36,hip_flexion_l,7.5,86.284116803704,0.648784713895426
37,hip_flexion_l,7.5,84.9956645050348,0.766623161269709
38,hip_flexion_l,7.5,83.4352758485364,0.881883067258726
39,hip_flexion_l,7.5,81.6319612477315,0.973717086267742
40,hip_flexion_l,7.5,79.6208720166752,1.03411013756001
41,hip_flexion_l,7.5,77.4416426177979,1.06341789975479
42,hip_flexion_l,7.5,75.1370542855941,1.0676206515265
43,hip_flexion_l,7.5,72.752165291969,1.05627817888765
44,hip_flexion_l,7.5,70.3338104446852,1.04109254091928
45,hip_flexion_l,7.5,67.9301923392725,1.03542914855839
46,hip_flexion_l,7.5,65.5902540580952,1.05464406181031
47,hip_flexion_l,7.5,63.3626382874754,1.11557228012686
48,hip_flexion_l,7.5,61.2940824075225,1.23261525454446
49,hip_flexion_l,7.5,59.4268887784257,1.41127279349348
50,hip_flexion_l,7.5,57.7951841377421,1.64459958506238
51,hip_flexion_l,7.5,56.4220337685908,1.91320703879041
52,hip_flexion_l,7.5,55.3116488611096,2.19636501342352
53,hip_flexion_l,7.5,54.4508532996895,2.47115476918044
54,hip_flexion_l,7.5,53.8069037037136,2.71713641755344
55,hip_flexion_l,7.5,53.3277288284223,2.91720445644265
56,hip_flexion_l,7.5,52.9436002296299,3.05888048520327
57,hip_flexion_l,7.5,52.5708031260137,3.13782280756648
58,hip_flexion_l,7.5,52.117565574553,3.16114774482963
59,hip_flexion_l,7.5,51.4915711542538,3.14678748327022
60,hip_flexion_l,7.5,50.6077133005544,3.11787615371563
61,hip_flexion_l,7.5,49.3947336974713,3.09411453535101
62,hip_flexion_l,7.5,47.7998985490395,3.08407894135196
63,hip_flexion_l,7.5,45.7913292646704,3.08319055109395
64,hip_flexion_l,7.5,43.3580969207938,3.07899188445124
65,hip_flexion_l,7.5,40.5089366868048,3.05999228260082
66,hip_flexion_l,7.5,37.2705317534425,3.02221837028924
67,hip_flexion_l,7.5,33.6846719033032,2.97040024030235
68,hip_flexion_l,7.5,29.8066469199947,2.91391259900945
69,hip_flexion_l,7.5,25.7042785148249,2.86068100258684
70,hip_flexion_l,7.5,21.4528746885719,2.8127419219485
71,hip_flexion_l,7.5,17.1362155874933,2.76387676069482
72,hip_flexion_l,7.5,12.845438128297,2.7010672705408
73,hip_flexion_l,7.5,8.67673980102173,2.60798146095486
74,hip_flexion_l,7.5,4.72821616355217,2.46876683829929
75,hip_flexion_l,7.5,1.09601765081337,2.27143959526262
76,hip_flexion_l,7.5,-2.13054862614089,2.01049792221915
77,hip_flexion_l,7.5,-4.87491608452168,1.68832344160168
78,hip_flexion_l,7.5,-7.07925243668588,1.31548084408058
79,hip_flexion_l,7.5,-8.70956124140871,0.911029162193458
80,hip_flexion_l,7.5,-9.75929432638765,0.507978580751367
81,hip_flexion_l,7.5,-10.2508449850115,0.232900846884526
82,hip_flexion_l,7.5,-10.2339945846455,0.422802583416986
83,hip_flexion_l,7.5,-9.78081915135906,0.726801579378492
84,hip_flexion_l,7.5,-8.97784612775033,0.984591200254005
85,hip_flexion_l,7.5,-7.91735635795377,1.17292318036634
86,hip_flexion_l,7.5,-6.68977120123613,1.28603878331248
87,hip_flexion_l,7.5,-5.37823154147412,1.32485590837964
88,hip_flexion_l,7.5,-4.05537040756766,1.29418981489383
89,hip_flexion_l,7.5,-2.78153998610063,1.20150803921332
90,hip_flexion_l,7.5,-1.60366096929951,1.05650761435437
91,hip_flexion_l,7.5,-0.554189769959697,0.871321960976897
92,hip_flexion_l,7.5,0.350022988099202,0.661004567937697
93,hip_flexion_l,7.5,1.10901588212554,0.443755278775449
94,hip_flexion_l,7.5,1.74088058353161,0.240563075746412
