Time,Coordinate,Speed,Mean,Std
0,hip_flexion_r,5.0 m/s,41.2848297349422,2.09718608707291
1,hip_flexion_r,5.0 m/s,40.1810387676322,1.90334637058356
2,hip_flexion_r,5.0 m/s,39.2187237117495,1.74700501401008
3,hip_flexion_r,5.0 m/s,38.4108408924731,1.61709316713596
4,hip_flexion_r,5.0 m/s,37.7790129730477,1.52132197322509
5,hip_flexion_r,5.0 m/s,37.2999794025176,1.44736560893603
6,hip_flexion_r,5.0 m/s,36.9622398904305,1.37843239578427
7,hip_flexion_r,5.0 m/s,36.7322832105998,1.32641759087634
8,hip_flexion_r,5.0 m/s,36.5462951171618,1.28861395553808
9,hip_flexion_r,5.0 m/s,36.3259093745325,1.27587299984651
10,hip_flexion_r,5.0 m/s,35.9644519765779,1.31793016798957
11,hip_flexion_r,5.0 m/s,35.356587824038,1.42428223887154
12,hip_flexion_r,5.0 m/s,34.4391449796557,1.60287232413389
13,hip_flexion_r,5.0 m/s,33.0999613648759,1.88391559442652
14,hip_flexion_r,5.0 m/s,31.3219874879579,2.18895854973083
15,hip_flexion_r,5.0 m/s,29.1277696220219,2.52548044858647
16,hip_flexion_r,5.0 m/s,26.5286953433531,2.90394694996711
17,hip_flexion_r,5.0 m/s,23.6098170853709,3.25799852643507
18,hip_flexion_r,5.0 m/s,20.4610472432029,3.58677054073697
19,hip_flexion_r,5.0 m/s,17.1862252250638,3.88223549001362
20,hip_flexion_r,5.0 m/s,13.8784632788656,4.11083021056556
21,hip_flexion_r,5.0 m/s,10.6264849485986,4.26544799294592
22,hip_flexion_r,5.0 m/s,7.5166148116042,4.30708475706595
23,hip_flexion_r,5.0 m/s,4.61863230340193,4.24993662077394
24,hip_flexion_r,5.0 m/s,1.97723689253669,4.10035623651132
25,hip_flexion_r,5.0 m/s,-0.338727396368224,3.83154343013788
26,hip_flexion_r,5.0 m/s,-2.30991430913486,3.48207283020307
27,hip_flexion_r,5.0 m/s,-3.91499230619412,3.08964584645688
28,hip_flexion_r,5.0 m/s,-5.12987310356255,2.64664689551151
29,hip_flexion_r,5.0 m/s,-5.99554506676008,2.18373786336918
30,hip_flexion_r,5.0 m/s,-6.50046913518997,1.76646423695926
31,hip_flexion_r,5.0 m/s,-6.69551437356606,1.37448553765885
32,hip_flexion_r,5.0 m/s,-6.62709940838768,1.04418474563351
33,hip_flexion_r,5.0 m/s,-6.32145832124584,0.799073228216116
34,hip_flexion_r,5.0 m/s,-5.83715127008775,0.613809602148433
35,hip_flexion_r,5.0 m/s,-5.21251584647301,0.496215912337018
36,hip_flexion_r,5.0 m/s,-4.48729704784977,0.40018458109829
37,hip_flexion_r,5.0 m/s,-3.69374964788646,0.304743383228228
38,hip_flexion_r,5.0 m/s,-2.86062495522166,0.202785742029581
39,hip_flexion_r,5.0 m/s,-2.00664301745058,0.0950996033635347
40,hip_flexion_r,5.0 m/s,-1.14123341735702,0.0589938893111816
41,hip_flexion_r,5.0 m/s,-0.271130454493103,0.151643682085941
42,hip_flexion_r,5.0 m/s,0.607310759343635,0.242560855389587
43,hip_flexion_r,5.0 m/s,1.49902764975555,0.319257743908396
44,hip_flexion_r,5.0 m/s,2.41079504923904,0.388859145193372
45,hip_flexion_r,5.0 m/s,3.35083452591194,0.459369380695652
46,hip_flexion_r,5.0 m/s,4.32423369480346,0.531837697480217
47,hip_flexion_r,5.0 m/s,5.34193735041478,0.599070310386061
48,hip_flexion_r,5.0 m/s,6.41488182275061,0.65015864070408
49,hip_flexion_r,5.0 m/s,7.5706140364261,0.662333198121178
50,hip_flexion_r,5.0 m/s,8.84152611837208,0.617160541316153
51,hip_flexion_r,5.0 m/s,10.2487414373118,0.503394160460548
52,hip_flexion_r,5.0 m/s,11.845202397414,0.314710767171255
53,hip_flexion_r,5.0 m/s,13.6699729880408,0.204913283897704
54,hip_flexion_r,5.0 m/s,15.7427589179924,0.550356944465594
55,hip_flexion_r,5.0 m/s,18.1165642894426,1.08494111035185
56,hip_flexion_r,5.0 m/s,20.8261905722367,1.72806536103805
57,hip_flexion_r,5.0 m/s,23.8683287899587,2.41400605468593
58,hip_flexion_r,5.0 m/s,27.2216659974296,3.12321576795664
59,hip_flexion_r,5.0 m/s,30.8620356102538,3.78381958148783
