Time,Coordinate,Speed,Mean,Std
0,hip_rotation_l,7.5,-9.67998940449865,1.27478540597314
1,hip_rotation_l,7.5,-10.4858522228711,1.16858598979239
2,hip_rotation_l,7.5,-11.1285581127301,1.11059740235239
3,hip_rotation_l,7.5,-11.5708688853926,1.12577468923526
4,hip_rotation_l,7.5,-11.7812733632757,1.22404336979833
5,hip_rotation_l,7.5,-11.7367760514296,1.39276649979492
6,hip_rotation_l,7.5,-11.4259472153346,1.60629284819435
7,hip_rotation_l,7.5,-10.8512477029911,1.83750836484612
8,hip_rotation_l,7.5,-10.0302474810009,2.06231188107518
9,hip_rotation_l,7.5,-8.99587651368699,2.26030592299748
10,hip_rotation_l,7.5,-7.79556419958378,2.41483703189039
11,hip_rotation_l,7.5,-6.48853991325307,2.51292608572861
12,hip_rotation_l,7.5,-5.14076832384546,2.54536010781297
13,hip_rotation_l,7.5,-3.81800837428562,2.50762014900168
14,hip_rotation_l,7.5,-2.57863483820642,2.40143809997209
15,hip_rotation_l,7.5,-1.46856518929281,2.23547256199805
16,hip_rotation_l,7.5,-0.51980899246565,2.02416287270773
17,hip_rotation_l,7.5,0.248076745121446,1.78592404616149
18,hip_rotation_l,7.5,0.825721774284081,1.54248386724815
19,hip_rotation_l,7.5,1.21237807761226,1.31911715311572
20,hip_rotation_l,7.5,1.41528558609259,1.14273943653464
21,hip_rotation_l,7.5,1.44951208706086,1.03392670778221
22,hip_rotation_l,7.5,1.33766142061673,0.994605025055995
23,hip_rotation_l,7.5,1.10877101906249,1.0047546734367
24,hip_rotation_l,7.5,0.795932014019312,1.03464551190149
25,hip_rotation_l,7.5,0.433028753248934,1.05800109366389
26,hip_rotation_l,7.5,0.0516533522621325,1.05662123154235
27,hip_rotation_l,7.5,-0.321104396792914,1.02049550512208
28,hip_rotation_l,7.5,-0.664102400932219,0.947373179084938
29,hip_rotation_l,7.5,-0.963324752667048,0.842093503481466
30,hip_rotation_l,7.5,-1.21315453664721,0.714953742965579
31,hip_rotation_l,7.5,-1.41752593128564,0.579313436906206
32,hip_rotation_l,7.5,-1.59012730128834,0.450187526585068
33,hip_rotation_l,7.5,-1.75289159901348,0.346921714957611
34,hip_rotation_l,7.5,-1.93272216659341,0.300015798557512
35,hip_rotation_l,7.5,-2.15757239636232,0.335481210724185
36,hip_rotation_l,7.5,-2.4514491168038,0.439112696220084
37,hip_rotation_l,7.5,-2.831372245487,0.582075765700249
38,hip_rotation_l,7.5,-3.30533750011623,0.747186302421831
39,hip_rotation_l,7.5,-3.87075877838738,0.924805639227069
40,hip_rotation_l,7.5,-4.51346548184647,1.10809812480306
41,hip_rotation_l,7.5,-5.20810788161985,1.2916356283491
42,hip_rotation_l,7.5,-5.92068720645433,1.47136922500468
43,hip_rotation_l,7.5,-6.61289648556476,1.64482341509824
44,hip_rotation_l,7.5,-7.24719509067608,1.81091769628055
45,hip_rotation_l,7.5,-7.79153763363623,1.96904354984602
46,hip_rotation_l,7.5,-8.22295478265818,2.11716290985555
47,hip_rotation_l,7.5,-8.52950903274517,2.24940915730344
48,hip_rotation_l,7.5,-8.71070695455388,2.35495453987141
49,hip_rotation_l,7.5,-8.77680274127618,2.42003123973411
50,hip_rotation_l,7.5,-8.7470297171086,2.43304124870096
51,hip_rotation_l,7.5,-8.64572761429259,2.39052385872673
52,hip_rotation_l,7.5,-8.4975588625392,2.30250840909523
53,hip_rotation_l,7.5,-8.3171816187382,2.18958331813339
54,hip_rotation_l,7.5,-8.10481076689093,2.07560381366625
55,hip_rotation_l,7.5,-7.8481672828674,1.97890552479895
56,hip_rotation_l,7.5,-7.52991313911088,1.90911745716883
57,hip_rotation_l,7.5,-7.13551582455637,1.86907058823706
58,hip_rotation_l,7.5,-6.65868895131795,1.85767528050186
59,hip_rotation_l,7.5,-6.10426005933232,1.87121058723196
60,hip_rotation_l,7.5,-5.48873212454727,1.90269682159092
61,hip_rotation_l,7.5,-4.83921542617189,1.94047311865102
62,hip_rotation_l,7.5,-4.1921759413815,1.96777124290216
63,hip_rotation_l,7.5,-3.59265038549894,1.96458308991869
64,hip_rotation_l,7.5,-3.09298329842248,1.91143507391882
65,hip_rotation_l,7.5,-2.74989823716593,1.79349810562503
66,hip_rotation_l,7.5,-2.61961956735419,1.60374470227433
67,hip_rotation_l,7.5,-2.75275429235492,1.34272395652392
68,hip_rotation_l,7.5,-3.18644934586325,1.02036025443329
69,hip_rotation_l,7.5,-3.93426082336831,0.661322974533579
70,hip_rotation_l,7.5,-4.98733545932395,0.296229679879561
71,hip_rotation_l,7.5,-6.30915550217863,0.132742883664795
72,hip_rotation_l,7.5,-7.83534302064042,0.424387474708482
73,hip_rotation_l,7.5,-9.47716298100549,0.691389648358868
74,hip_rotation_l,7.5,-11.1287134836053,0.893049356535322
75,hip_rotation_l,7.5,-12.6770397665948,1.02177971575035
76,hip_rotation_l,7.5,-14.0133733957185,1.08318098327198
77,hip_rotation_l,7.5,-15.0428698558355,1.09919432679426
78,hip_rotation_l,7.5,-15.691501258023,1.1107640824574
79,hip_rotation_l,7.5,-15.9113031929463,1.17011558528424
80,hip_rotation_l,7.5,-15.6855094067311,1.31039861777288
81,hip_rotation_l,7.5,-15.0330703562202,1.51719623786361
82,hip_rotation_l,7.5,-14.0101528228704,1.74124249130243
83,hip_rotation_l,7.5,-12.7059561520136,1.92978769139248
84,hip_rotation_l,7.5,-11.231877556016,2.04534006074642
85,hip_rotation_l,7.5,-9.70615991069271,2.07101766042191
86,hip_rotation_l,7.5,-8.23872859723703,2.00812079040829
87,hip_rotation_l,7.5,-6.92062973955467,1.87002469506455
88,hip_rotation_l,7.5,-5.81940694669932,1.67580329581958
89,hip_rotation_l,7.5,-4.97889525815093,1.44591535094401
90,hip_rotation_l,7.5,-4.42137726039312,1.20115586273461
91,hip_rotation_l,7.5,-4.15089805646799,0.965039981994931
92,hip_rotation_l,7.5,-4.15692585513195,0.768296447817341
93,hip_rotation_l,7.5,-4.41724565600286,0.648492770259076
94,hip_rotation_l,7.5,-4.8993820374555,0.626976651913447
95,hip_rotation_l,7.5,-5.5613461407977,0.679782338429999
96,hip_rotation_l,7.5,-6.35327599496168,0.764132634980028
97,hip_rotation_l,7.5,-7.22057515638752,0.855716203964717
98,hip_rotation_l,7.5,-8.10772421144254,0.95087503292037
99,hip_rotation_l,7.5,-8.96137033674004,1.05707068859216
100,hip_rotation_l,7.5,-9.73190167256868,1.18499338931289
