Time,Coordinate,Speed,Mean,Std
0,hip_rotation_r,7.5,-8.03614560632229,4.29470724437066
1,hip_rotation_r,7.5,-8.49242213356781,4.43132610014059
2,hip_rotation_r,7.5,-8.84987666119946,4.48021578646415
3,hip_rotation_r,7.5,-9.09562072133973,4.44363209821194
4,hip_rotation_r,7.5,-9.2139977953296,4.32964614090532
5,hip_rotation_r,7.5,-9.19114240574942,4.15028479440581
6,hip_rotation_r,7.5,-9.02146404105408,3.92024052387946
7,hip_rotation_r,7.5,-8.71065555069036,3.65570490351417
8,hip_rotation_r,7.5,-8.27526022200667,3.37271362777425
9,hip_rotation_r,7.5,-7.74088131961088,3.08593715029721
10,hip_rotation_r,7.5,-7.14001728848227,2.80817008926313
11,hip_rotation_r,7.5,-6.51022077373069,2.54952949218139
12,hip_rotation_r,7.5,-5.89326696662739,2.31614663111288
13,hip_rotation_r,7.5,-5.33516423679176,2.10952822392894
14,hip_rotation_r,7.5,-4.88590833520718,1.92758160585445
15,hip_rotation_r,7.5,-4.59779333373946,1.76701382422537
16,hip_rotation_r,7.5,-4.52191189579186,1.62630304455764
17,hip_rotation_r,7.5,-4.70335684644409,1.50842659515902
18,hip_rotation_r,7.5,-5.17592157640791,1.42216018544405
19,hip_rotation_r,7.5,-5.95692911511486,1.38045670578839
20,hip_rotation_r,7.5,-7.04241841625113,1.39532636828196
21,hip_rotation_r,7.5,-8.40288894673705,1.47185919229737
22,hip_rotation_r,7.5,-9.98057105849538,1.60615072606469
23,hip_rotation_r,7.5,-11.6898859914368,1.78763962878385
24,hip_rotation_r,7.5,-13.4224249015277,2.00194720043774
25,hip_rotation_r,7.5,-15.056220559324,2.23220676772513
26,hip_rotation_r,7.5,-16.467239576998,2.45973410481451
27,hip_rotation_r,7.5,-17.540813263945,2.66545341279706
28,hip_rotation_r,7.5,-18.1821013640104,2.83280099126826
29,hip_rotation_r,7.5,-18.3258709343536,2.95140652649637
30,hip_rotation_r,7.5,-17.9457482100929,3.01967097595917
31,hip_rotation_r,7.5,-17.0613678551716,3.04467972082571
32,hip_rotation_r,7.5,-15.7397045678401,3.04003678028312
33,hip_rotation_r,7.5,-14.0872058506471,3.02303560014808
34,hip_rotation_r,7.5,-12.2331008522336,3.01042031327128
35,hip_rotation_r,7.5,-10.3144513636971,3.01223594949419
36,hip_rotation_r,7.5,-8.45476372044897,3.02617520063566
37,hip_rotation_r,7.5,-6.75534011888834,3.03938690872629
38,hip_rotation_r,7.5,-5.29131281644846,3.03470373094303
39,hip_rotation_r,7.5,-4.1111373446974,2.9982265013876
40,hip_rotation_r,7.5,-3.23956590246372,2.92463921937365
41,hip_rotation_r,7.5,-2.68241537309768,2.81865587957794
42,hip_rotation_r,7.5,-2.43094175792442,2.69316980269408
43,hip_rotation_r,7.5,-2.46489579072307,2.56570208544098
44,hip_rotation_r,7.5,-2.75505981913661,2.45493918953259
45,hip_rotation_r,7.5,-3.26607003243259,2.37872151716989
46,hip_rotation_r,7.5,-3.958963822311,2.35324100228506
47,hip_rotation_r,7.5,-4.79240395879977,2.39134027071255
48,hip_rotation_r,7.5,-5.72252383244445,2.49883950121315
49,hip_rotation_r,7.5,-6.70235226197768,2.67119265566475
50,hip_rotation_r,7.5,-7.68174198918632,2.89337952048645
51,hip_rotation_r,7.5,-8.60768210706764,3.14410356585787
52,hip_rotation_r,7.5,-9.42855618094008,3.3980547964758
53,hip_rotation_r,7.5,-10.0972285027956,3.63224435736057
54,hip_rotation_r,7.5,-10.5753888894655,3.8295618636944
55,hip_rotation_r,7.5,-10.8368233167015,3.9803073004105
56,hip_rotation_r,7.5,-10.8692124680715,4.08135680949517
57,hip_rotation_r,7.5,-10.6746456685529,4.1339452026646
58,hip_rotation_r,7.5,-10.2690688912632,4.14127944296271
59,hip_rotation_r,7.5,-9.68063606185497,4.10668436461631
60,hip_rotation_r,7.5,-8.94704903510706,4.03267946291528
61,hip_rotation_r,7.5,-8.11222548247265,3.92107223809735
62,hip_rotation_r,7.5,-7.22271980807949,3.77357683459661
63,hip_rotation_r,7.5,-6.32440053973793,3.59225865329993
