Time,Coordinate,Speed,Mean,Std
0,knee_angle_r,6.0 m/s,14.6242601336306,1.92472930751015
1,knee_angle_r,6.0 m/s,16.5664975401982,1.95665800365403
2,knee_angle_r,6.0 m/s,18.8422757649246,2.01657062437517
3,knee_angle_r,6.0 m/s,21.351990550828,2.09270241038971
4,knee_angle_r,6.0 m/s,23.9822750953751,2.17589349572156
5,knee_angle_r,6.0 m/s,26.6140589692496,2.26079411374803
6,knee_angle_r,6.0 m/s,29.1183435533793,2.3388477735482
7,knee_angle_r,6.0 m/s,31.3738100289274,2.42079288275869
8,knee_angle_r,6.0 m/s,33.306605066203,2.50627211915334
9,knee_angle_r,6.0 m/s,34.851614381925,2.59971466803109
10,knee_angle_r,6.0 m/s,35.9612017588935,2.70622778154793
11,knee_angle_r,6.0 m/s,36.5924599825635,2.81530811743302
12,knee_angle_r,6.0 m/s,36.6989661999172,2.96102373723697
13,knee_angle_r,6.0 m/s,36.2912547480406,3.13245706654286
14,knee_angle_r,6.0 m/s,35.3938239004167,3.32062074105548
15,knee_angle_r,6.0 m/s,34.0267023536139,3.51427248353978
16,knee_angle_r,6.0 m/s,32.2222636993783,3.69227278910602
17,knee_angle_r,6.0 m/s,30.0245087949955,3.83097970134971
18,knee_angle_r,6.0 m/s,27.5251475245177,3.92329178184143
19,knee_angle_r,6.0 m/s,24.8355048942598,3.93027514778824
20,knee_angle_r,6.0 m/s,22.0832303260977,3.83619474384167
21,knee_angle_r,6.0 m/s,19.3977518957991,3.62805649331003
22,knee_angle_r,6.0 m/s,16.9216221865221,3.31483917905525
23,knee_angle_r,6.0 m/s,14.7997364282323,2.86961175922185
24,knee_angle_r,6.0 m/s,13.1451789667294,2.32197475085479
25,knee_angle_r,6.0 m/s,12.0496511719125,1.70486736911861
26,knee_angle_r,6.0 m/s,11.5693199761174,1.06846043881396
27,knee_angle_r,6.0 m/s,11.7643806728948,0.660610811852794
28,knee_angle_r,6.0 m/s,12.6460695948608,0.949358720099749
29,knee_angle_r,6.0 m/s,14.207405451817,1.65051352285072
30,knee_angle_r,6.0 m/s,16.4044126730152,2.41000077622808
31,knee_angle_r,6.0 m/s,19.176967013581,3.16895244629299
32,knee_angle_r,6.0 m/s,22.4582199653987,3.89654207524235
33,knee_angle_r,6.0 m/s,26.1776868029111,4.56769301587896
34,knee_angle_r,6.0 m/s,30.2540044175983,5.18929522752813
