Time,Coordinate,Speed,Mean,Std
0,lumbar_bending,5.0,-0.547757965385379,1.07818096865916
1,lumbar_bending,5.0,-0.367064248346238,0.947782243989504
2,lumbar_bending,5.0,-0.130190957612739,0.852050823924098
3,lumbar_bending,5.0,0.158846710260088,0.793210723871774
4,lumbar_bending,5.0,0.497349451786698,0.768803091293681
5,lumbar_bending,5.0,0.890058479352781,0.777859480054425
6,lumbar_bending,5.0,1.32502143307581,0.813239847846958
7,lumbar_bending,5.0,1.79065614874415,0.880402231138658
8,lumbar_bending,5.0,2.26990057920193,0.990443051646224
9,lumbar_bending,5.0,2.73760071604846,1.15285382412385
10,lumbar_bending,5.0,3.16048995360824,1.36639801553192
11,lumbar_bending,5.0,3.50408937626622,1.62126608650539
12,lumbar_bending,5.0,3.73996646910104,1.89616420655979
13,lumbar_bending,5.0,3.84032053685065,2.15482816233909
14,lumbar_bending,5.0,3.79573899829887,2.38514626264239
15,lumbar_bending,5.0,3.60797334340852,2.58708343748341
16,lumbar_bending,5.0,3.27364891570149,2.75984642241819
17,lumbar_bending,5.0,2.77276667299509,2.88544853388046
18,lumbar_bending,5.0,2.11535891911585,2.95943594865764
19,lumbar_bending,5.0,1.31397923001987,2.97493272465071
20,lumbar_bending,5.0,0.38301105607217,2.92692606723673
21,lumbar_bending,5.0,-0.665602509482132,2.80110606464045
22,lumbar_bending,5.0,-1.79117970802804,2.62201697595642
23,lumbar_bending,5.0,-2.95708501844906,2.39217259472732
24,lumbar_bending,5.0,-4.12966437809032,2.12235596104177
25,lumbar_bending,5.0,-5.27363809597299,1.83072049036215
26,lumbar_bending,5.0,-6.34841317992341,1.54564320511993
27,lumbar_bending,5.0,-7.32581163433199,1.28636684082729
28,lumbar_bending,5.0,-8.18650564471245,1.08761312399198
29,lumbar_bending,5.0,-8.90966547939184,0.98279884695966
30,lumbar_bending,5.0,-9.49382032897204,0.977519157664242
31,lumbar_bending,5.0,-9.94618611941789,1.03768756575893
32,lumbar_bending,5.0,-10.2762648553785,1.12265247878163
33,lumbar_bending,5.0,-10.4901764098354,1.19620700171027
34,lumbar_bending,5.0,-10.6132722821021,1.26278989802605
35,lumbar_bending,5.0,-10.6657367344274,1.31399654552851
36,lumbar_bending,5.0,-10.6669884886915,1.34645398148181
37,lumbar_bending,5.0,-10.6313297670326,1.3569915947416
38,lumbar_bending,5.0,-10.5760474891721,1.34962468622885
39,lumbar_bending,5.0,-10.512550660017,1.32241552401698
40,lumbar_bending,5.0,-10.4463355433747,1.2760835259425
