Time,Coordinate,Speed,Mean,Std
0,pelvis_list,7.0,0.573948057186741,1.27584019113027
1,pelvis_list,7.0,0.187248994018309,1.26126432706328
2,pelvis_list,7.0,-0.234499005196679,1.25843761643518
3,pelvis_list,7.0,-0.677203629047509,1.26596510518045
4,pelvis_list,7.0,-1.12658684376403,1.28255585158196
5,pelvis_list,7.0,-1.56916121329958,1.30747046053691
6,pelvis_list,7.0,-1.99256283364653,1.34063612642945
7,pelvis_list,7.0,-2.38526345974148,1.38196738976311
8,pelvis_list,7.0,-2.73571546526866,1.42973679371158
9,pelvis_list,7.0,-3.03126120412791,1.47905598156597
10,pelvis_list,7.0,-3.25742430938859,1.52211213321728
11,pelvis_list,7.0,-3.39829591649981,1.55045825090881
12,pelvis_list,7.0,-3.43826631363469,1.55797770279501
13,pelvis_list,7.0,-3.36442252178124,1.54301526883287
14,pelvis_list,7.0,-3.16852894490495,1.50909180668691
15,pelvis_list,7.0,-2.84807515696728,1.46432584998817
16,pelvis_list,7.0,-2.406493366147,1.41996983293287
17,pelvis_list,7.0,-1.85286268076436,1.38844891818946
18,pelvis_list,7.0,-1.20143028845166,1.38103562451718
19,pelvis_list,7.0,-0.4711618122447,1.4053726961771
20,pelvis_list,7.0,0.314744433486669,1.46383773232711
21,pelvis_list,7.0,1.12980350331041,1.55379321103322
22,pelvis_list,7.0,1.94607180056078,1.6692933057324
23,pelvis_list,7.0,2.7366708131864,1.80276842212174
24,pelvis_list,7.0,3.47816811053276,1.94586785869029
25,pelvis_list,7.0,4.15204518481892,2.08973974114895
26,pelvis_list,7.0,4.74509946888438,2.22539224513364
27,pelvis_list,7.0,5.24915334238404,2.3444312012495
28,pelvis_list,7.0,5.6606370261528,2.44002629831308
29,pelvis_list,7.0,5.98035757517187,2.50783339451715
30,pelvis_list,7.0,6.21320992640337,2.5466469466813
31,pelvis_list,7.0,6.36748663743597,2.55841852000592
32,pelvis_list,7.0,6.45375809395032,2.54744624664035
33,pelvis_list,7.0,6.48338987065238,2.51922955575458
34,pelvis_list,7.0,6.46674563387004,2.47933876849305
35,pelvis_list,7.0,6.41282278814196,2.4342836504455
36,pelvis_list,7.0,6.3281331630577,2.39019797519799
37,pelvis_list,7.0,6.21710522581019,2.35249913496893
38,pelvis_list,7.0,6.08306748685672,2.32534248481547
39,pelvis_list,7.0,5.92932778433733,2.31100658400139
40,pelvis_list,7.0,5.76019876393653,2.30999854264225
41,pelvis_list,7.0,5.58178049339483,2.32182298489897
42,pelvis_list,7.0,5.40249193433979,2.34581133024743
43,pelvis_list,7.0,5.23342163829327,2.38145479055044
44,pelvis_list,7.0,5.08847354915139,2.42822495953471
45,pelvis_list,7.0,4.9840360436635,2.48552265128532
46,pelvis_list,7.0,4.93789906029796,2.55334498859394
47,pelvis_list,7.0,4.96765088884683,2.63320245309558
48,pelvis_list,7.0,5.08903310737356,2.72804502592323
49,pelvis_list,7.0,5.31427465394753,2.84059806857307
50,pelvis_list,7.0,5.65004749413247,2.97086536552581
51,pelvis_list,7.0,6.09604025401463,3.11355020758575
52,pelvis_list,7.0,6.63795801284775,3.26210641091922
53,pelvis_list,7.0,7.2508534491163,3.40732289336356
54,pelvis_list,7.0,7.89949087118041,3.54036828114835
55,pelvis_list,7.0,8.54266580338912,3.65412918484062
56,pelvis_list,7.0,9.13866801642602,3.74359532915037
57,pelvis_list,7.0,9.64975892127815,3.80512754988197
58,pelvis_list,7.0,10.0445989393125,3.83504882713118
59,pelvis_list,7.0,10.299259825117,3.82878355739198
60,pelvis_list,7.0,10.3976559795792,3.78157953845208
61,pelvis_list,7.0,10.331328672071,3.69062712492387
62,pelvis_list,7.0,10.0983168762345,3.55756667023652
63,pelvis_list,7.0,9.70172574638943,3.39038068109815
64,pelvis_list,7.0,9.14911316690169,3.20369147736428
65,pelvis_list,7.0,8.45292015807834,3.01667347650152
66,pelvis_list,7.0,7.63096671384382,2.84887519300073
67,pelvis_list,7.0,6.70593880206813,2.71525630499342
68,pelvis_list,7.0,5.70503247756202,2.62423751614342
69,pelvis_list,7.0,4.65823256980115,2.57663381339575
70,pelvis_list,7.0,3.59620581207126,2.56678448081047
71,pelvis_list,7.0,2.54977244260068,2.58760421177293
72,pelvis_list,7.0,1.54877864844769,2.63338878533742
73,pelvis_list,7.0,0.620892983618076,2.70011428230423
74,pelvis_list,7.0,-0.209687793625076,2.78394077698604
75,pelvis_list,7.0,-0.923610400821516,2.87965399166375
76,pelvis_list,7.0,-1.5076767035942,2.98019691950557
77,pelvis_list,7.0,-1.95576015973275,3.07727011420914
78,pelvis_list,7.0,-2.26901687965647,3.16245060410803
79,pelvis_list,7.0,-2.45534447732612,3.22836680964638
80,pelvis_list,7.0,-2.5282038493833,3.26967290467233
81,pelvis_list,7.0,-2.50496642491435,3.28369189014642
82,pelvis_list,7.0,-2.40504103272791,3.27064098788175
83,pelvis_list,7.0,-2.24810057979025,3.23338926934141
84,pelvis_list,7.0,-2.0526089862833,3.1767689380039
85,pelvis_list,7.0,-1.83470048970665,3.10657690813563
86,pelvis_list,7.0,-1.60748686441874,3.02850163929925
87,pelvis_list,7.0,-1.38089789299795,2.94723060063663
88,pelvis_list,7.0,-1.1620126256116,2.86587990411431
89,pelvis_list,7.0,-0.955729398771394,2.78574659323892
90,pelvis_list,7.0,-0.765729655387115,2.70645541609684
91,pelvis_list,7.0,-0.595647515874392,2.62659603212504
