Time,Coordinate,Speed,Mean,Std
0,pelvis_rotation,5.0,1.59664926459144,3.51273323388999
1,pelvis_rotation,5.0,1.10874617370264,3.26209013055356
2,pelvis_rotation,5.0,0.53294274739497,3.03088478198343
3,pelvis_rotation,5.0,-0.130835283030831,2.82798658629312
4,pelvis_rotation,5.0,-0.879105692090345,2.66050549264472
5,pelvis_rotation,5.0,-1.71434848940261,2.53805074166804
6,pelvis_rotation,5.0,-2.61235687657411,2.45172534610311
7,pelvis_rotation,5.0,-3.55188983372795,2.39814868851175
8,pelvis_rotation,5.0,-4.50696158581251,2.37283699110564
9,pelvis_rotation,5.0,-5.44116992203535,2.36872354204839
10,pelvis_rotation,5.0,-6.31369310637238,2.38418226880686
11,pelvis_rotation,5.0,-7.08509504011157,2.4226634355164
12,pelvis_rotation,5.0,-7.72322666220753,2.48422611228886
13,pelvis_rotation,5.0,-8.1963355722063,2.54767977948233
14,pelvis_rotation,5.0,-8.50008946815127,2.61689571630463
15,pelvis_rotation,5.0,-8.63792704601331,2.68959031704433
16,pelvis_rotation,5.0,-8.61250353163479,2.76323457802767
17,pelvis_rotation,5.0,-8.41832135677424,2.82578943576354
18,pelvis_rotation,5.0,-8.07924918687251,2.86820571821624
19,pelvis_rotation,5.0,-7.6196715747495,2.88691856884914
20,pelvis_rotation,5.0,-7.06221173984734,2.87600582387153
21,pelvis_rotation,5.0,-6.42913586677787,2.82593581104112
22,pelvis_rotation,5.0,-5.75794886180745,2.73976376193878
23,pelvis_rotation,5.0,-5.08323214652041,2.61657006778088
24,pelvis_rotation,5.0,-4.4337826981113,2.45798699486329
25,pelvis_rotation,5.0,-3.83927330178144,2.27153721366775
26,pelvis_rotation,5.0,-3.33015580872505,2.0663504316516
27,pelvis_rotation,5.0,-2.92709775581259,1.84237653613569
28,pelvis_rotation,5.0,-2.6437932793449,1.61030467947319
29,pelvis_rotation,5.0,-2.49558462108108,1.39003582372181
30,pelvis_rotation,5.0,-2.48471522591587,1.18285483589952
31,pelvis_rotation,5.0,-2.60163410512839,0.992836500744794
32,pelvis_rotation,5.0,-2.8363290007755,0.822450693935987
33,pelvis_rotation,5.0,-3.17928967671445,0.682548739327187
