Time,Coordinate,Speed,Mean,Std
0,subtalar_angle_r,8.0,-2.87707261782393,0.699404532211997
1,subtalar_angle_r,8.0,-2.72529918422643,0.503400993756419
2,subtalar_angle_r,8.0,-2.51928864136994,0.447967146072582
3,subtalar_angle_r,8.0,-2.23829154806719,0.622754296012775
4,subtalar_angle_r,8.0,-1.87267305749442,0.902763179201519
5,subtalar_angle_r,8.0,-1.41957272369606,1.20393202841616
6,subtalar_angle_r,8.0,-0.879623707052642,1.50213245639377
7,subtalar_angle_r,8.0,-0.259925328978256,1.79350182283365
8,subtalar_angle_r,8.0,0.419660522981395,2.08034060854328
9,subtalar_angle_r,8.0,1.12331428072558,2.36509623845402
10,subtalar_angle_r,8.0,1.80186842286242,2.64711839405171
11,subtalar_angle_r,8.0,2.39955633311852,2.92126261521387
12,subtalar_angle_r,8.0,2.86140237491584,3.17814905940872
13,subtalar_angle_r,8.0,3.13890952117295,3.40545631234711
14,subtalar_angle_r,8.0,3.19415090703553,3.58941090526364
15,subtalar_angle_r,8.0,3.00348633971311,3.71607607099256
16,subtalar_angle_r,8.0,2.56145327014465,3.77275780576104
17,subtalar_angle_r,8.0,1.88415582307791,3.74969356868099
18,subtalar_angle_r,8.0,1.01076766536602,3.64148067488263
19,subtalar_angle_r,8.0,0.00178416765572581,3.44793500330961
20,subtalar_angle_r,8.0,-1.06685337329466,3.17469896411912
21,subtalar_angle_r,8.0,-2.11320265738909,2.83378949470702
22,subtalar_angle_r,8.0,-3.05958423636391,2.44422265082219
23,subtalar_angle_r,8.0,-3.84005974365104,2.03274898220501
24,subtalar_angle_r,8.0,-4.40403540165859,1.6330880940669
25,subtalar_angle_r,8.0,-4.72043053801219,1.28107674278886
26,subtalar_angle_r,8.0,-4.78394181334319,1.00555132719945
27,subtalar_angle_r,8.0,-4.64548236809877,0.818738996943687
28,subtalar_angle_r,8.0,-4.39190472394121,0.711333345824717
29,subtalar_angle_r,8.0,-4.13556056834873,0.680594644911315
30,subtalar_angle_r,8.0,-3.98854542318908,0.737391746399636
31,subtalar_angle_r,8.0,-4.03758381135311,0.870513776600717
32,subtalar_angle_r,8.0,-4.32636006341219,1.03625241882468
33,subtalar_angle_r,8.0,-4.8490587112218,1.18629284727922
34,subtalar_angle_r,8.0,-5.55564403808253,1.28631418575699
35,subtalar_angle_r,8.0,-6.36597623092461,1.32143330692276
36,subtalar_angle_r,8.0,-7.18759002386832,1.29753607987042
37,subtalar_angle_r,8.0,-7.93203985867666,1.24110970062731
38,subtalar_angle_r,8.0,-8.52686184932038,1.19626150780707
39,subtalar_angle_r,8.0,-8.92251412288287,1.21261396409116
40,subtalar_angle_r,8.0,-9.09465690510578,1.32054644432473
41,subtalar_angle_r,8.0,-9.04247148895621,1.51558380815234
