Percent_Stride,hip_flexion_r_4p0_Mean,hip_flexion_r_4p0_Std,hip_flexion_r_5p0_Mean,hip_flexion_r_5p0_Std,hip_flexion_r_6p0_Mean,hip_flexion_r_6p0_Std,hip_flexion_r_7p0_Mean,hip_flexion_r_7p0_Std,hip_flexion_r_7p5_Mean,hip_flexion_r_7p5_Std,hip_flexion_r_8p0_Mean,hip_flexion_r_8p0_Std,knee_angle_r_4p0_Mean,knee_angle_r_4p0_Std,knee_angle_r_5p0_Mean,knee_angle_r_5p0_Std,knee_angle_r_6p0_Mean,knee_angle_r_6p0_Std,knee_angle_r_7p0_Mean,knee_angle_r_7p0_Std,knee_angle_r_7p5_Mean,knee_angle_r_7p5_Std,knee_angle_r_8p0_Mean,knee_angle_r_8p0_Std,hip_flexion_l_4p0_Mean,hip_flexion_l_4p0_Std,hip_flexion_l_5p0_Mean,hip_flexion_l_5p0_Std,hip_flexion_l_6p0_Mean,hip_flexion_l_6p0_Std,hip_flexion_l_7p0_Mean,hip_flexion_l_7p0_Std,hip_flexion_l_7p5_Mean,hip_flexion_l_7p5_Std,hip_flexion_l_8p0_Mean,hip_flexion_l_8p0_Std,knee_angle_l_4p0_Mean,knee_angle_l_4p0_Std,knee_angle_l_5p0_Mean,knee_angle_l_5p0_Std,knee_angle_l_6p0_Mean,knee_angle_l_6p0_Std,knee_angle_l_7p0_Mean,knee_angle_l_7p0_Std,knee_angle_l_7p5_Mean,knee_angle_l_7p5_Std,knee_angle_l_8p0_Mean,knee_angle_l_8p0_Std,ankle_angle_r_4p0_Mean,ankle_angle_r_4p0_Std,ankle_angle_r_5p0_Mean,ankle_angle_r_5p0_Std,ankle_angle_r_6p0_Mean,ankle_angle_r_6p0_Std,ankle_angle_r_7p0_Mean,ankle_angle_r_7p0_Std,ankle_angle_r_7p5_Mean,ankle_angle_r_7p5_Std,ankle_angle_r_8p0_Mean,ankle_angle_r_8p0_Std,ankle_angle_l_4p0_Mean,ankle_angle_l_4p0_Std,ankle_angle_l_5p0_Mean,ankle_angle_l_5p0_Std,ankle_angle_l_6p0_Mean,ankle_angle_l_6p0_Std,ankle_angle_l_7p0_Mean,ankle_angle_l_7p0_Std,ankle_angle_l_7p5_Mean,ankle_angle_l_7p5_Std,ankle_angle_l_8p0_Mean,ankle_angle_l_8p0_Std
0,45.727680651356,5.49369096860668,44.4638381237568,6.07693196565026,47.8707357009363,4.08179193876593,47.2490318025113,3.98808041881572,57.0190766124034,2.80378539998887,39.9711782673389,1.8236692916959,24.5971396424363,1.43730387348619,26.6694710736168,4.83590331393989,27.8649883841466,2.21885346740852,29.83118263054,0.769589952367035,35.4766234485067,4.13434151624765,15.7823378990095,0.379737317388231,9.89890359097478,4.22917898041864,10.4369476299015,9.33439263472142,12.6307000860402,4.12098403749211,11.8279823953433,1.48546877032879,5.1575981951337,1.39807682769732,3.17825227551087,2.42007430809591,82.4835937606045,8.66652499058563,94.1530975577021,14.8985022687894,97.9327538369564,5.82043831615099,111.415751561566,5.37326550057857,103.492866915283,5.66505899891475,136.582298570662,4.45026576782349,-0.211647362760487,4.97034961744275,-5.83458278050627,3.53660720433923,-2.80389845893438,2.15392344632634,-4.99095189253244,2.43682500499602,-0.433428630043453,1.97366913351005,-18.3757962172577,0.484936173172621,-19.7100436077367,1.60957742299792,-14.5405899608921,4.75234926208973,-17.7818962417571,1.13650602725682,-15.6957093541888,2.44657638899006,-25.0648013548232,3.13481633677086,-35.2666535151844,3.90604177881009
1,45.3096207528203,5.72015232588342,43.9087612489724,5.74866085245791,46.774422249202,4.00613057380458,45.8503866048345,4.12664396469035,55.5507924340809,2.65131921685957,39.2840997240614,1.67894612335539,26.9587300426183,1.83658460052821,28.844529442878,4.67327026508637,29.7722702066812,2.17045074910051,31.4371957558364,0.93098192985405,37.030933194686,3.99190218458595,19.1999304400831,0.725289240159372,11.4134119721181,4.5185844634636,12.3205071452443,9.74165373480817,14.3559981331332,4.40748889607309,13.6421787442835,1.50854672492931,6.50743437684057,1.63140861857317,6.19074612291842,2.46357308790925,86.6770937616139,8.57642175281882,98.0970073302954,14.2642512119981,101.724860580772,5.60398339797369,115.130445355067,5.30226919415103,107.835735407292,5.3356654103335,140.284067639517,4.03116054627115,0.233025640406781,4.04543096472675,-4.57439975344316,3.10062311481553,-2.23329315784557,1.92431342392968,-3.89383618720331,2.11793958941501,-0.143894465593255,2.37317307482491,-14.7921645980739,0.1889758601366,-18.8220171690409,1.83068145426528,-13.4103573962269,4.84994475924725,-16.5106175355772,1.12541895673737,-13.9979404661996,2.37058295095685,-23.2964954970755,3.17839505307609,-33.6521228642408,4.05301809759662
2,45.0541045155122,5.95016109835555,43.568224046997,5.48431466774224,45.9458602028063,3.93459823150629,44.7401630785557,4.33002547617686,54.4279565119988,2.4952179310391,38.5675815397488,1.52572419184752,29.6828497664854,2.33064997003375,31.4475399282303,4.63544267436886,32.0910465476165,2.20083210449728,33.3869182792199,1.23293058883635,39.0829416257071,3.85221970262507,22.7010151626463,1.10620813693748,13.0598215669743,4.85552540437817,14.4162533294215,10.1128771931553,16.3566841656836,4.69013159714517,15.8214044876902,1.56434798921918,8.24529916264003,1.95141475673177,9.43550297334968,2.49165783070409,90.7274639665035,8.46317516893854,101.899308597568,13.5741963929286,105.334118699912,5.3500337416577,118.655874103236,5.23063201370829,112.032036509198,5.00163985227003,143.576277507713,3.55945642239278,1.01086474351511,3.11034918324968,-2.94193837684177,2.77835864794596,-1.26983539111653,1.69686418381166,-2.37561778974496,1.88177053504114,0.622642544622977,2.69480194749242,-10.781023835569,0.201141445637588,-17.8812679676374,2.0315778552036,-12.2728693638696,4.93711664916936,-15.2503133050221,1.11618630181392,-12.2639299082824,2.25156134273614,-21.4340564818473,3.19290860256926,-32.0060754551055,4.19829981373868
3,44.9439342578869,6.15673847294608,43.3978780184027,5.27862760791172,45.3669867062943,3.8675878375753,43.8938889089997,4.59138141956943,53.6328038351724,2.34538356726231,37.7844713586154,1.38071375369364,32.6909239950782,2.88715015818619,34.3690069317619,4.68208994206271,34.7423630321016,2.29192223086691,35.5980720040869,1.59411804858453,41.5262632120461,3.72312713453629,26.1809819213881,1.47106170919897,14.8630699243088,5.24093453215578,16.7200994826552,10.4463199318329,18.6445818687123,4.95976657536214,18.3806679265108,1.66612956269132,10.4143692386773,2.34527822588204,12.9050746963243,2.5179173560357,94.6098406292013,8.32183413730133,105.53105568641,12.8304868106604,108.734263616152,5.05613262420276,121.964679621393,5.15477561186105,116.062373063344,4.66162760953301,146.408304084371,3.04480667487046,2.1078527231827,2.24658105543806,-1.01022093566889,2.57778464921329,0.0646546030618909,1.48322735312832,-0.503420233744443,1.77949146986401,1.84796220521021,2.91386340166899,-6.51875123294518,0.43645266433557,-16.8760124771169,2.19501214287408,-11.128301194635,5.00224939186333,-13.9986178398233,1.11439046011308,-10.5037692185502,2.09192694293621,-19.4835307995956,3.17527032416349,-30.3379420737737,4.33046631679823
4,44.9383986299689,6.28947399324734,43.3295863499221,5.12607197296673,44.9884474101061,3.80576758009074,43.260000197895,4.88644794304318,53.1111733945971,2.20768693737785,36.8966940343295,1.24982263267661,35.8539366226528,3.44035799939174,37.4679914970827,4.77409022889147,37.6116439949597,2.42222618833367,37.9603855514909,1.95751980146558,44.2182288863153,3.62357439540556,29.5210506524535,1.78774909301616,16.8666855836488,5.68992680432813,19.219377181509,10.7410601973589,21.2150671882436,5.20652545440226,21.3156897153681,1.81348432263505,13.032744578523,2.78790241112226,16.5919404186403,2.55188897144603,98.2682922151722,8.13420671643406,108.9596460244,12.0355257185135,111.894834843824,4.72077227753887,125.024695356092,5.0703568739096,119.899367916329,4.31402301585781,148.735152390324,2.49960344465117,3.47702292068904,1.53771413121502,1.11856949881283,2.47503991665143,1.70194242143086,1.29058524322005,1.61882528283505,1.81480832954997,3.44506257857235,3.03053057505085,-2.2100226240555,0.618017952467036,-15.7936052744789,2.30215039923627,-9.97478874932833,5.03179253990082,-12.7501847581129,1.12135454818283,-8.72944148270245,1.89613953550645,-17.454881328851,3.12417827214295,-28.6565375689713,4.44003446341865
5,44.9499849252063,6.32779284479689,43.2676302558443,5.01895775852363,44.730950799565,3.75064670585414,42.7628342511211,5.17801420057176,52.7771703217287,2.08316176435947,35.8667327832098,1.13083244884954,38.9852285591676,3.93872473410976,40.5730900262805,4.8654294844768,40.5590639908078,2.57073778499907,40.3469257082591,2.28382535193738,46.998222850848,3.57970309280701,32.5962191002027,2.03806377363588,19.0527062035254,6.187813298712,21.9080839558733,10.9814051525288,24.0441909754552,5.42137395865286,24.6008082148041,1.98989402708185,16.089999724261,3.24897371328958,20.4872456734501,2.59542330076867,101.702622965746,7.90430040518285,112.123913062853,11.213812003555,114.782108287641,4.34350233282168,127.800329934953,4.97258319423233,123.508083763384,3.95780375681633,150.520511129813,1.93765251284434,5.00550989067003,1.03573765811016,3.35390424279232,2.43867577586461,3.55533265499494,1.1218694962466,3.87764373146215,1.93699414128307,5.29804423593273,3.0591674500588,1.94172831828773,0.729054805911005,-14.6466631080963,2.3517704481356,-8.80346011071722,5.00674877348384,-11.4986476107022,1.13335748737191,-6.9539960169682,1.66991237809303,-15.3608106432442,3.04068450187747,-26.9719253332148,4.51905879032574
6,44.8942625259958,6.24755529833625,43.0985982696658,4.95748469878416,44.4916920315191,3.70487198943014,42.3085643137474,5.42427850113081,52.5219550075842,1.9698494460208,34.6595614843889,1.01886176454656,41.9200039589843,4.32829643274412,43.5051406794657,4.94062277703166,43.4358680384849,2.72131768718526,42.6276422982386,2.54687190271385,49.7087945903985,3.61627266708903,35.2856159124678,2.21535189879174,21.4333943298023,6.72102499305328,24.7365698691716,11.1863483712221,27.0874282771071,5.59844874062457,28.1885389497614,2.1680936809188,19.5461298401731,3.69725586872249,24.5779076417722,2.64186512685448,104.861495875848,7.63630106200321,114.990245894295,10.3356565660545,117.360612311943,3.92530521738362,130.254543055546,4.85685803294845,126.847470237315,3.59353348168313,151.738871408198,1.3727943159888,6.66111036645314,0.790141050417424,5.60961375939769,2.4466726559685,5.54905447339904,0.977963448492882,6.1724401442823,2.07618258344049,7.30443404041533,3.01291638120853,5.75338725068208,0.778130659495982,-13.4369189728542,2.33470056916761,-7.61927653753849,4.91278663333015,-10.2387117729108,1.14252136298601,-5.19181020026975,1.41993695529771,-13.2162429182397,2.92753347677796,-25.2966186730767,4.56085059022414
7,44.6706985616488,6.04786182572726,42.7242032364154,4.9458733585554,44.1549425771329,3.67310609256931,41.7934196045341,5.58794766421949,52.2238452883213,1.8660877236591,33.2441548017565,0.910412446272699,44.4966073925168,4.60084671611117,46.1287580464664,4.99550110508289,46.0996761201716,2.86562458297689,44.6807368643434,2.7330782120711,52.2097463286903,3.74805818722664,37.4820800670791,2.32122052575227,23.998898541429,7.28260009514117,27.6563079534578,11.3468511511255,30.2819919563072,5.73661901422878,32.0118058065498,2.31881441637541,23.3337003243361,4.10377685641368,28.8428620688491,2.67898060765571,107.680519228821,7.30542569999637,117.529077604665,9.4156605746571,119.595287384785,3.46908274975764,132.351217683453,4.71957603697741,129.872985662155,3.22448813032097,152.37666600124,0.817836402049555,8.41496448681595,0.724811817444396,7.84153044343624,2.49206935639824,7.62789418183081,0.860693924534319,8.42201829628252,2.17801034456588,9.38714046720924,2.89911093471249,9.0684490783508,0.782520513164205,-12.1781900954864,2.24579223831767,-6.42446400711356,4.74340360253353,-8.96826059349413,1.13940638265642,-3.4598166065801,1.15445524148733,-11.0385823732984,2.78766934668949,-23.6460888623213,4.56112287149966
8,44.2236949036808,5.77826942312043,42.0638833596072,4.98165366288216,43.6031023829502,3.65865874212295,41.1136480894207,5.64357979486778,51.7596325259399,1.77514032472324,31.5946673272812,0.804008892360008,46.6569555287542,4.776145652874,48.3423539619183,5.02582700352371,48.4211581950887,2.99510347847779,46.400760552273,2.84129403209977,54.3844964256492,3.97712508369178,39.0992852124357,2.36177382682262,26.6966551784378,7.82982681140654,30.6208428575479,11.4519653729128,33.5550668847994,5.8378148791845,35.9892157625229,2.41839184330692,27.3643456015113,4.44434916099777,33.2502534600208,2.69375582283719,110.165436636264,6.92595745607403,119.711025367424,8.46889484115792,121.450265049487,2.98596867183513,134.057751735178,4.55881893128816,132.540362281599,2.85782074218375,152.432606078576,0.284066103456509,10.2280459343714,0.694943455878054,10.0194758209764,2.56816378402733,9.74829262762811,0.775427962860031,10.5592479464499,2.21531156010318,11.4840850900178,2.72108850251913,11.7553681308112,0.762303901978737,-10.894543871845,2.09959575724071,-5.2267460650053,4.49751168573039,-7.69001608798468,1.11581437791483,-1.77863254728937,0.884515119760455,-8.8484726701394,2.62326230147779,-22.0382763554298,4.51963389742493
9,43.4774230821826,5.47459533889785,41.0277473671575,5.0379583931239,42.7318148642223,3.66177160326156,40.1759552110541,5.58133583183178,51.0168555235384,1.71022591959605,29.6918556546191,0.699299640417194,48.2968379635801,4.85118311100715,50.0272153044452,4.99222505624348,50.2934667196452,3.10095711170477,47.7039734030294,2.88167193106622,56.142312690495,4.29583789589416,40.0761025195724,2.34428886027928,29.5061510129517,8.31406778450124,33.5929638699047,11.4828590733222,36.8314913264718,5.90786817430962,40.0325874197252,2.45295908182956,31.5392099840763,4.70083396660302,37.757119178535,2.67624133146914,112.249413969392,6.51207909618359,121.472566996214,7.53412129441325,122.893593861966,2.49237786915621,135.347535318473,4.37480129689088,134.809855982462,2.50572296216898,151.917386924956,0.2218534107726,12.0721202389697,0.625453776079352,12.1082422466623,2.66390079009485,11.8639654454917,0.727780713803436,12.5236661821967,2.18658880470827,13.5369030110907,2.48100540173466,13.7043049036941,0.736162457408885,-9.60966052537184,1.90556342773098,-4.04126664082076,4.17944082136947,-6.41419801290099,1.0696172829703,-0.172705965358056,0.626298097800436,-6.67072965747277,2.43599859979707,-20.492065390603,4.44054584080787
10,42.4091322685517,5.23026834458909,39.616597854526,5.10922887185639,41.4803339736277,3.70482143441414,38.9063879431772,5.40669077471926,49.9048756562541,1.69625454630709,27.5249752895847,0.598019209949809,49.4045353342191,4.9214240120136,51.1834838982902,4.94072636961067,51.6601990504882,3.211690717101,48.5310304459057,2.87277996824218,57.4178002529647,4.69149943497524,40.37852257359,2.27508487981385,32.3804253564704,8.68351436794716,36.5389632512772,11.4201583361434,40.045961769182,5.95088908889709,44.0550726529906,2.4190642643764,35.7608538877967,4.86061635086515,42.3119329770869,2.620911581946,113.902483656216,6.02870744325526,122.821500024548,6.60086534104849,123.916599204918,1.98314184334639,136.201868001908,4.17013060620843,136.650004496749,2.18637536599538,150.852763568335,0.690020452843487,13.8959847293112,0.531600869884975,14.0777377517304,2.7773339703336,13.9209273583024,0.725068464469923,14.2567505843959,2.11192551626449,15.4860623589784,2.18256481136787,14.8256089619955,0.717864550478163,-8.35891651006798,1.67627189653862,-2.89452244854509,3.80534231876481,-5.1599348316138,1.00808018234455,1.33072883756045,0.408123100794359,-4.53497269409527,2.22813578029425,-19.0259494182674,4.33091480322336
11,41.0546140877374,5.079208052558,37.8351821647468,5.19691642542785,39.7951940991279,3.81610405994031,37.2560591680333,5.13751394238513,48.362175679393,1.7628643001808,25.0940168127519,0.50842408155835,50.0332988308942,4.99890857448545,51.8036145692013,4.91016708620544,52.4540850398605,3.3654020218195,48.8467955655072,2.8373536868677,58.1675451536311,5.14993527438082,39.9999885982698,2.15893365814348,35.2912215481889,8.90786123841614,39.4360885114856,11.2335377076632,43.1462754399791,5.95645486346373,47.978305541862,2.32221827094363,39.9435785771306,4.91485895897194,46.8590996378176,2.52592453781849,115.148775451407,5.50437868498688,123.747190168583,5.65773809560178,124.489302673632,1.44814675311627,136.611019443783,3.94998045311691,138.040159265863,1.92394155053354,149.26984053905,1.11979571151914,15.6530790768844,0.505724118915725,15.8864290381412,2.90561859814325,15.845789598189,0.787244978503162,15.6993350330262,2.02956287475066,17.2685288342553,1.83236664564671,15.0506457067154,0.714000000483523,-7.16929546046134,1.43319888823007,-1.81644302913662,3.39114149827572,-3.95525041790554,0.937917245582574,2.70374887218243,0.29198535012753,-2.47535733925083,2.0036128365636,-17.6582594132981,4.19785079926365
