Time,Coordinate,Speed,Mean,Std
0,hip_flexion_l,5.0,10.4369476299015,9.33439263472142
1,hip_flexion_l,5.0,12.3205071452443,9.74165373480817
2,hip_flexion_l,5.0,14.4162533294215,10.1128771931553
3,hip_flexion_l,5.0,16.7200994826552,10.4463199318329
4,hip_flexion_l,5.0,19.219377181509,10.7410601973589
5,hip_flexion_l,5.0,21.9080839558733,10.9814051525288
6,hip_flexion_l,5.0,24.7365698691716,11.1863483712221
7,hip_flexion_l,5.0,27.6563079534578,11.3468511511255
8,hip_flexion_l,5.0,30.6208428575479,11.4519653729128
9,hip_flexion_l,5.0,33.5929638699047,11.4828590733222
10,hip_flexion_l,5.0,36.5389632512772,11.4201583361434
11,hip_flexion_l,5.0,39.4360885114856,11.2335377076632
12,hip_flexion_l,5.0,42.2719254121799,10.9126380984871
13,hip_flexion_l,5.0,45.0465308939058,10.4787893932316
14,hip_flexion_l,5.0,47.7411403176727,9.97672587166053
15,hip_flexion_l,5.0,50.3518426105457,9.44885501904559
16,hip_flexion_l,5.0,52.8682515660373,8.93912439673088
17,hip_flexion_l,5.0,55.2662622041739,8.48425083311591
18,hip_flexion_l,5.0,57.5387909140441,8.10553847226561
19,hip_flexion_l,5.0,59.6829647993194,7.7919956372666
20,hip_flexion_l,5.0,61.6950215039902,7.52856194739659
21,hip_flexion_l,5.0,63.5581928051173,7.29907786051232
22,hip_flexion_l,5.0,65.2755792389806,7.09355608823583
23,hip_flexion_l,5.0,66.8519639833049,6.90643216828263
24,hip_flexion_l,5.0,68.2864896907833,6.7329773574802
25,hip_flexion_l,5.0,69.5677555937324,6.56214882181438
26,hip_flexion_l,5.0,70.6988340751962,6.40325866691923
27,hip_flexion_l,5.0,71.6755031256836,6.22977889446267
28,hip_flexion_l,5.0,72.4873698885772,6.03152556278396
29,hip_flexion_l,5.0,73.1065202267909,5.79092484201498
30,hip_flexion_l,5.0,73.5124674346642,5.52083294123916
31,hip_flexion_l,5.0,73.682466462829,5.21320559281614
32,hip_flexion_l,5.0,73.5856922201045,4.86672658925552
33,hip_flexion_l,5.0,73.1793227480658,4.47211725790782
34,hip_flexion_l,5.0,72.465508913087,4.08422925944257
35,hip_flexion_l,5.0,71.4487900344157,3.71154418226516
36,hip_flexion_l,5.0,70.1494532068561,3.35789927906808
37,hip_flexion_l,5.0,68.5831737038857,3.01521160820078
38,hip_flexion_l,5.0,66.8008093335076,2.71909079840805
39,hip_flexion_l,5.0,64.8635937568651,2.46882797213671
40,hip_flexion_l,5.0,62.8324617879547,2.25303055546603
41,hip_flexion_l,5.0,60.7631898234396,2.07336513914221
42,hip_flexion_l,5.0,58.7114990153921,1.93683930925618
43,hip_flexion_l,5.0,56.7313082561313,1.84338033480015
44,hip_flexion_l,5.0,54.8616870220453,1.80005900256145
45,hip_flexion_l,5.0,53.1517735086362,1.83936352729124
46,hip_flexion_l,5.0,51.6251111953284,1.9566476569519
47,hip_flexion_l,5.0,50.3149401541221,2.1509921230037
48,hip_flexion_l,5.0,49.24458206102,2.42846756756986
49,hip_flexion_l,5.0,48.439513003098,2.79894502259597
50,hip_flexion_l,5.0,47.8719719528722,3.20007461338707
51,hip_flexion_l,5.0,47.5329869795075,3.56636804386781
52,hip_flexion_l,5.0,47.372548775839,3.86394274243533
53,hip_flexion_l,5.0,47.3326520228794,4.03273923670565
54,hip_flexion_l,5.0,47.3419932422022,4.02417206374749
55,hip_flexion_l,5.0,47.3255409959376,3.80020380002953
56,hip_flexion_l,5.0,47.1937992058213,3.36281024325022
57,hip_flexion_l,5.0,46.8375047802149,2.69900802328764
58,hip_flexion_l,5.0,46.2041034843065,1.93083019781619
59,hip_flexion_l,5.0,45.2041132009036,1.33165779030224
60,hip_flexion_l,5.0,43.8027180903792,1.46256614901259
61,hip_flexion_l,5.0,41.9672335805046,2.25925633328074
62,hip_flexion_l,5.0,39.7302497856865,3.20253548739112
63,hip_flexion_l,5.0,37.1063144271095,4.0907577958269
64,hip_flexion_l,5.0,34.127097236967,4.83798708731933
65,hip_flexion_l,5.0,30.8759607134813,5.42981194114631
66,hip_flexion_l,5.0,27.4295803759069,5.83125611305011
67,hip_flexion_l,5.0,23.8545937864882,6.02633681606804
68,hip_flexion_l,5.0,20.2236691174463,6.0132717034972
69,hip_flexion_l,5.0,16.634796916871,5.77789456645978
70,hip_flexion_l,5.0,13.1436573779917,5.35587325109912
71,hip_flexion_l,5.0,9.80729110210831,4.76550843464492
72,hip_flexion_l,5.0,6.67999719442309,4.03400473019146
73,hip_flexion_l,5.0,3.82238248115281,3.15296140047595
74,hip_flexion_l,5.0,1.24879314557764,2.22826622094397
75,hip_flexion_l,5.0,-1.00522227042753,1.44009091121162
76,hip_flexion_l,5.0,-2.89799485926248,1.2343694532585
77,hip_flexion_l,5.0,-4.41353955871914,1.83002623506343
78,hip_flexion_l,5.0,-5.56435467342499,2.66780286317063
79,hip_flexion_l,5.0,-6.35168902601002,3.46779622549174
80,hip_flexion_l,5.0,-6.75082743644881,4.1099157516418
81,hip_flexion_l,5.0,-6.8188947079188,4.60398532843876
82,hip_flexion_l,5.0,-6.60583873605841,4.93995521172573
83,hip_flexion_l,5.0,-6.1570219875252,5.13254449660653
84,hip_flexion_l,5.0,-5.51532851981975,5.2007510661739
85,hip_flexion_l,5.0,-4.73379523694985,5.1844469046196
86,hip_flexion_l,5.0,-3.87115487748017,5.12460875439326
87,hip_flexion_l,5.0,-2.96716273873015,5.05571382340012
88,hip_flexion_l,5.0,-2.05408905849912,5.00896398093938
89,hip_flexion_l,5.0,-1.15309680262354,5.01588256594297
90,hip_flexion_l,5.0,-0.277838980493739,5.09249569549922
91,hip_flexion_l,5.0,0.567968043202899,5.25100914211589
92,hip_flexion_l,5.0,1.38887155182714,5.4955110366487
93,hip_flexion_l,5.0,2.20377317284878,5.83327277358003
94,hip_flexion_l,5.0,3.03318936562685,6.2472432221837
95,hip_flexion_l,5.0,3.90435543449091,6.7260301871393
96,hip_flexion_l,5.0,4.85091860097973,7.25236694162635
97,hip_flexion_l,5.0,5.91975517982871,7.82154547161899
98,hip_flexion_l,5.0,7.13413955510429,8.40546718293417
99,hip_flexion_l,5.0,8.52579227462675,8.98687913132869
100,hip_flexion_l,5.0,10.1230914719832,9.54938399526686
