trial_mode,speed,variable,joint,n_curves,mean_col,std_col
constantrun,3p0,HF,hip_flexion,30,hip_flexion_constantrun_3p0_Mean,hip_flexion_constantrun_3p0_Std
constantrun,3p0,KF,knee_angle,30,knee_angle_constantrun_3p0_Mean,knee_angle_constantrun_3p0_Std
constantrun,3p0,PT,pelvis_tx,30,pelvis_tx_constantrun_3p0_Mean,pelvis_tx_constantrun_3p0_Std
constantrun,4p0,HF,hip_flexion,27,hip_flexion_constantrun_4p0_Mean,hip_flexion_constantrun_4p0_Std
constantrun,4p0,KF,knee_angle,27,knee_angle_constantrun_4p0_Mean,knee_angle_constantrun_4p0_Std
constantrun,4p0,PT,pelvis_tx,27,pelvis_tx_constantrun_4p0_Mean,pelvis_tx_constantrun_4p0_Std
constantrun,5p0,HF,hip_flexion,24,hip_flexion_constantrun_5p0_Mean,hip_flexion_constantrun_5p0_Std
constantrun,5p0,KF,knee_angle,24,knee_angle_constantrun_5p0_Mean,knee_angle_constantrun_5p0_Std
constantrun,5p0,PT,pelvis_tx,24,pelvis_tx_constantrun_5p0_Mean,pelvis_tx_constantrun_5p0_Std
constantrun,6p0,HF,hip_flexion,27,hip_flexion_constantrun_6p0_Mean,hip_flexion_constantrun_6p0_Std
constantrun,6p0,KF,knee_angle,27,knee_angle_constantrun_6p0_Mean,knee_angle_constantrun_6p0_Std
constantrun,6p0,PT,pelvis_tx,27,pelvis_tx_constantrun_6p0_Mean,pelvis_tx_constantrun_6p0_Std
constantrun,jog,HF,hip_flexion,27,hip_flexion_constantrun_jog_Mean,hip_flexion_constantrun_jog_Std
constantrun,jog,KF,knee_angle,27,knee_angle_constantrun_jog_Mean,knee_angle_constantrun_jog_Std
constantrun,jog,PT,pelvis_tx,27,pelvis_tx_constantrun_jog_Mean,pelvis_tx_constantrun_jog_Std
fly,3p0,HF,hip_flexion,27,hip_flexion_fly_3p0_Mean,hip_flexion_fly_3p0_Std
fly,3p0,KF,knee_angle,27,knee_angle_fly_3p0_Mean,knee_angle_fly_3p0_Std
fly,3p0,PT,pelvis_tx,27,pelvis_tx_fly_3p0_Mean,pelvis_tx_fly_3p0_Std
fly,4p0,HF,hip_flexion,27,hip_flexion_fly_4p0_Mean,hip_flexion_fly_4p0_Std
fly,4p0,KF,knee_angle,27,knee_angle_fly_4p0_Mean,knee_angle_fly_4p0_Std
fly,4p0,PT,pelvis_tx,27,pelvis_tx_fly_4p0_Mean,pelvis_tx_fly_4p0_Std
fly,5p0,HF,hip_flexion,30,hip_flexion_fly_5p0_Mean,hip_flexion_fly_5p0_Std
fly,5p0,KF,knee_angle,30,knee_angle_fly_5p0_Mean,knee_angle_fly_5p0_Std
fly,5p0,PT,pelvis_tx,30,pelvis_tx_fly_5p0_Mean,pelvis_tx_fly_5p0_Std
fly,6p0,HF,hip_flexion,30,hip_flexion_fly_6p0_Mean,hip_flexion_fly_6p0_Std
fly,6p0,KF,knee_angle,30,knee_angle_fly_6p0_Mean,knee_angle_fly_6p0_Std
fly,6p0,PT,pelvis_tx,30,pelvis_tx_fly_6p0_Mean,pelvis_tx_fly_6p0_Std
fly,jog,HF,hip_flexion,30,hip_flexion_fly_jog_Mean,hip_flexion_fly_jog_Std
fly,jog,KF,knee_angle,30,knee_angle_fly_jog_Mean,knee_angle_fly_jog_Std
fly,jog,PT,pelvis_tx,30,pelvis_tx_fly_jog_Mean,pelvis_tx_fly_jog_Std
