Percent_Stride,pelvis_tilt,pelvis_list,pelvis_rotation,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0.0,-4.6312484083333345,-6.243226222222223,-9.625107704259259,32.92952310740741,10.662335713888886,-5.451209684814814,18.454608155185184,-18.159134865370373,-12.895067505925926,-7.512569590370371,-8.997238774074072,-8.485052334074075,-0.23390287777777777,52.510703784259256,-21.474586145740744,-10.317882666296295,-7.512569590370371,-5.933589872777777,14.064608505555558,-9.907287842407406,-23.177280867222223,-18.929114911666666,-25.097189087962967,74.59890571518518,71.95723407314814,-9.41454815574074,-25.415359940925924,14.234237135740743,99.20125672648149,84.24755660833334
1.0,-3.9486394371629623,-6.570570797337037,-10.373246023861109,31.40740391789259,11.216500190427777,-5.214662431259259,18.892686885000003,-18.34639809096111,-12.585244356805555,-7.511860062659259,-7.054432473779629,-8.808874986298148,-0.44092390405185156,55.35797184596111,-19.84611478512963,-10.394895382835184,-7.511860062659259,-6.588723997442593,14.078789586259258,-8.32529414738148,-22.540077154868516,-18.67141235734629,-24.384478621896292,74.92653112202038,72.05529299325,-8.768934931840741,-25.40003753889259,14.628561619935189,97.65288639939259,84.61442901936482
2.0,-3.266030465992593,-6.897915372451853,-11.121384343462962,29.885284728377776,11.770664666966663,-4.978115177703704,19.330765614814815,-18.533661316551854,-12.275421207685188,-7.511150534948148,-5.111626173485186,-9.132697638522224,-0.6479449303259266,58.20523990766296,-18.21764342451852,-10.471908099374073,-7.511150534948148,-7.243858122107407,14.092970666962962,-6.743300452355555,-21.902873442514817,-18.413709803025927,-23.67176815582963,75.25415652885555,72.15335191335186,-8.12332170794074,-25.384715136859263,15.02288610412963,96.1045160723037,84.98130143039629
3.0,-2.6627655658981477,-7.182167235235186,-11.819695927235184,28.50766485295741,12.258022965492593,-4.869668653838889,19.929147820848147,-18.506418575716665,-11.855862316446299,-7.510438674103704,-3.035404901098148,-9.551758939338889,-0.830287480442592,61.02474625123148,-16.43588578602037,-10.412932333698148,-7.510438674103704,-7.8706808581574075,14.152946902114815,-5.344583950705555,-21.21983866832963,-18.16066042860185,-23.151053090692592,75.86493528198147,72.38104518640739,-7.533142976753705,-25.074982689659254,15.024353096755554,94.74450433482592,85.02036695828704
4.0,-2.2872111135111113,-7.451652381570371,-12.357253951348149,27.28084194140741,12.61584742105185,-4.867379571533334,20.72817080933333,-17.92142832031852,-11.312353196814817,-7.5098277174962975,-0.7848558769851866,-10.120776779214815,-0.8196238583037042,63.307025022037045,-13.982281984392591,-9.920813183837037,-7.5098277174962975,-8.225643227807408,14.314804334266666,-4.458805855274075,-20.26259712594815,-18.050848559725925,-23.129939178851846,77.0342642699037,72.88064668642222,-7.419728131466666,-24.19108794128889,14.055575631037037,93.85651459250371,84.4560141908889
5.0,-1.985150444851852,-7.761512672675926,-12.84612869937963,26.052762983425925,12.980111845712962,-4.846877181962963,21.462521657796298,-17.329853741916665,-10.730555818268519,-7.5093480807777775,1.552043304453703,-10.697459230888889,-0.7331380952407405,65.49947637853704,-11.923322266037035,-9.367128431259259,-7.5093480807777775,-8.481421689138891,14.542002282416668,-3.8430785669814815,-19.092068284537035,-17.968112963546297,-22.794396853462963,78.0914790736389,73.29146434482408,-8.26441810396296,-23.24098433472222,12.138844483287038,93.00756142856481,84.08525744189814
6.0,-2.017325709207407,-8.045151058088889,-13.204674385137038,25.071761317781483,13.371808545455558,-5.055243980407408,22.290952605377775,-16.55662299192963,-10.204566844211111,-7.508569378177778,3.7150163406296297,-11.176181154988889,-0.46879419237037073,67.5266070504,-9.95192301420741,-8.941679996866666,-7.508569378177778,-8.690974429240741,14.95425617091852,-3.469637552048148,-17.672090391803703,-18.227617851403703,-22.002807316188886,79.02726236252593,73.52385802026667,-10.037083032188889,-22.507177783000003,9.781754848374074,92.07224494417409,83.78930400927038
7.0,-2.1898689632777777,-8.313176266488888,-13.52653209507037,24.048802910796297,13.75965258123889,-5.1697420711537045,23.110237257138888,-15.632709433461109,-9.706313041135184,-7.507587535092593,5.4622753635296295,-11.465536470298149,-0.1332689138648146,69.05383971861296,-8.961051300851853,-8.171485906950002,-7.507587535092593,-8.849935182066666,15.385419004685186,-2.9616937845962954,-16.27083575788148,-18.581294406675923,-21.205718283514816,79.86581704925928,73.76931145157407,-11.760710403455555,-21.83464350458333,7.754922257703703,91.10687175493332,83.47929481017223
8.0,-2.321368915903703,-8.569446629037037,-13.814955934822223,22.94820038080741,14.127040517777779,-5.199456965874074,23.819213876681484,-14.789117032059258,-9.248545924888889,-7.506640398592593,7.171308557140741,-11.73844425731852,0.21292597412592526,70.41820455582963,-8.154605780066667,-7.46669215208148,-7.506640398592593,-8.992052167970371,15.789870207214815,-2.4857708498,-14.785070835629629,-18.962231664385186,-20.309376156644444,80.76218174902962,74.02292851111852,-13.576783869785183,-21.17713387397778,5.819240150903706,90.19839868357778,83.23613553405185
9.0,-2.264986053148148,-8.698968632579628,-14.174590672916667,21.899963330912968,14.35630334814259,-4.97329552591852,24.452062107053703,-13.885596054064813,-8.795824869587037,-7.5062630561425925,9.174255414955557,-11.990046815116667,0.7433234470685183,71.98321233312036,-7.586336192333334,-7.149338789922222,-7.5062630561425925,-9.045665097475926,16.090541068033332,-1.7897662517055555,-13.286298318379629,-19.426967435412962,-19.57158795947963,81.85543182895927,74.17765950127406,-15.433328566650001,-20.383483073751854,5.293569354118521,88.68395330180371,83.10764877780927
